asset_id,type,expiry_days,usage_hours,priority
0,router,2575,45321,3
1,iot,424,19631,1
2,router,2756,69001,1
3,iot,182,1949,2
4,server,2270,70332,3
5,router,150,67705,1
6,iot,530,83516,1
7,iot,2749,8598,2
8,router,2152,2750,1
9,iot,959,4742,1
10,laptop,845,32192,3
11,laptop,1074,22740,1
12,server,1213,34709,1
13,laptop,2822,215,3
14,iot,2596,18221,3
15,router,2257,66299,3
16,router,1795,2928,1
17,server,2252,12739,2
18,iot,2901,18313,2
19,router,73,33889,3
20,server,1245,13786,1
21,server,2896,62372,3
22,router,1389,37359,3
23,server,965,59412,3
24,router,93,24570,1
25,router,97,46938,2
26,server,2059,4883,2
27,laptop,1012,20558,2
28,server,469,31760,2
29,server,1251,49718,2
30,iot,2610,30377,1
31,laptop,1393,76505,1
32,server,1358,64610,2
33,router,448,23691,3
34,server,2093,14266,1
35,laptop,2279,43203,1
36,server,1240,28197,1
37,server,1525,83987,2
38,laptop,284,44147,1
39,server,2847,59772,3
40,laptop,712,77236,2
41,server,1845,78164,1
42,server,511,28305,3
43,iot,2585,28451,1
44,laptop,1051,43065,2
45,router,343,81432,2
46,router,645,73285,1
47,laptop,1987,50337,2
48,server,1878,37976,3
49,laptop,415,1798,1
50,laptop,1448,54632,3
51,server,1255,10717,3
52,server,903,39702,3
53,laptop,1176,21797,2
54,iot,1375,14171,1
55,router,495,82118,1
56,server,1300,88107,2
57,laptop,358,78310,2
58,laptop,1204,55460,3
59,router,2338,61724,3
60,router,2059,17642,2
61,router,2164,75656,1
62,server,2652,55034,1
63,server,1891,58220,2
64,laptop,713,48148,2
65,server,2813,55872,3
66,iot,757,69293,2
67,iot,1744,69075,3
68,server,2479,53880,2
69,iot,2946,88224,1
70,iot,1986,83865,1
71,iot,1744,73160,1
72,router,676,31838,1
73,router,1946,53630,2
74,laptop,1394,19360,3
75,iot,2672,2709,2
76,laptop,2535,49066,1
77,router,642,28819,3
78,laptop,428,31571,2
79,iot,1568,88269,3
80,iot,2424,76476,1
81,iot,2112,21705,1
82,iot,1505,86379,2
83,server,916,51501,1
84,server,105,2932,2
85,router,1284,54530,3
86,iot,2936,51369,1
87,router,2399,56599,2
88,server,2732,58437,3
89,router,2470,28876,1
90,router,1300,22005,2
91,iot,2933,5790,1
92,laptop,893,20584,3
93,server,1191,69272,3
94,server,412,89080,1
95,laptop,1133,5197,3
96,router,540,48496,1
97,iot,654,35747,2
98,iot,1198,40085,2
99,iot,2787,73233,3
100,iot,411,51062,3
101,iot,2157,24922,1
102,laptop,2245,81387,2
103,router,1120,39190,2
104,router,1170,54927,1
105,laptop,1368,74456,3
106,iot,949,10215,3
107,laptop,853,42096,2
108,router,2080,39791,1
109,iot,693,40383,1
110,laptop,1143,79467,3
111,laptop,2126,79786,3
112,laptop,448,18330,3
113,server,1037,6437,3
114,server,2080,32643,1
115,router,686,86069,2
116,iot,1712,83756,3
117,iot,2532,36714,1
118,server,1338,9775,2
119,server,1709,88290,1
120,server,229,53230,3
121,server,1424,34110,3
122,server,2709,25700,2
123,laptop,2134,38908,1
124,laptop,1570,48780,2
125,server,2304,5153,2
126,iot,1732,49611,1
127,server,1636,27917,2
128,server,2754,85502,1
129,server,1878,37590,1
130,iot,51,18148,2
131,router,868,52728,2
132,iot,2673,33678,3
133,laptop,2105,71365,3
134,laptop,2233,13578,1
135,laptop,2381,42839,3
136,router,54,83176,2
137,laptop,2050,3764,3
138,router,1957,24262,3
139,server,2724,31256,2
140,router,452,47770,2
141,server,1821,35148,3
142,laptop,1667,88332,1
143,laptop,1098,85974,2
144,iot,998,87151,2
145,router,2506,42601,2
146,iot,2286,46584,1
147,server,156,15292,2
148,iot,1988,26720,2
149,iot,591,30742,3
150,server,833,1644,1
151,server,2882,75326,3
152,server,2985,46562,3
153,server,1683,26763,2
154,laptop,178,20780,2
155,laptop,655,49338,1
156,server,2922,33550,1
157,server,625,68707,3
158,router,2824,73340,3
159,router,1597,44271,1
160,server,2756,81924,3
161,laptop,640,13578,3
162,server,2642,43455,1
163,iot,1033,35028,2
164,router,1112,80165,3
165,iot,2845,36771,3
166,iot,2358,44332,2
167,iot,201,15983,3
168,router,2434,83376,1
169,iot,2493,14217,2
170,laptop,8,54398,2
171,laptop,24,68706,1
172,iot,2755,43032,2
173,laptop,2220,23995,3
174,server,1122,49081,2
175,laptop,1732,71141,1
176,iot,152,70884,1
177,laptop,2660,16102,1
178,server,2466,77575,3
179,laptop,785,35695,2
180,laptop,1140,4715,2
181,router,581,31427,2
182,iot,1079,81650,1
183,iot,2071,48208,2
184,router,1019,32969,3
185,router,1005,47239,1
186,server,290,63338,2
187,router,2513,38705,1
188,laptop,1659,36537,3
189,router,2727,51686,2
190,router,188,40995,1
