u,v,dist,road_type,traffic_factor
12,111,189,street,0.3465196694094934
24,17,92,highway,0.6664130356607738
72,49,46,highway,0.8681172623952538
13,104,33,street,0.5753761592725033
116,86,169,street,0.5800364445933011
57,88,33,highway,0.21215879253800263
53,1,194,street,0.7595833623711619
19,106,157,street,0.26085537564563244
94,64,13,highway,0.03581346135676744
52,89,9,highway,0.8748733283214999
6,75,181,highway,0.6477873711421883
18,95,17,highway,0.7884363809586634
16,118,104,street,0.20403498384235752
22,100,41,highway,0.5393206874759771
18,71,125,street,0.9037955682946386
18,88,121,street,0.33562944871698186
119,27,26,street,0.32340153265375426
54,109,141,street,0.44533128950568346
11,15,159,street,0.6840421579931002
50,40,32,street,0.39837276274881694
71,20,193,street,0.041968698139178806
63,15,111,street,0.11047432374855737
65,76,123,street,0.19036519632100157
26,13,92,street,0.22084322557493885
39,109,90,highway,0.8674229113422408
98,24,111,street,0.5920613199325341
4,75,153,street,0.21038605479396733
26,111,154,street,0.06832056150655252
90,115,21,street,0.658295835197099
19,46,184,street,0.35330544188721835
96,97,70,street,0.9189219486723428
52,80,20,street,0.30523368550681595
10,14,51,street,0.06368756665467601
25,19,147,street,0.5987859175591292
82,11,4,highway,0.8679384038656386
21,57,140,street,0.6038169027567332
111,25,163,street,0.9709276146686685
26,109,145,street,0.43563551216759666
53,105,66,street,0.7606466736868335
30,85,122,street,0.20212974201075173
52,76,199,highway,0.6464237726668375
27,113,127,highway,0.7773380149514925
80,38,84,street,0.11445579391385674
45,27,89,street,0.20456432850525796
5,56,120,street,0.9412455596166514
86,59,188,street,0.7059316724600568
119,46,58,highway,0.9195424851264274
65,47,132,street,0.7276729297504694
79,117,64,street,0.9506800293436346
79,86,169,highway,0.5455029854084258
77,47,179,highway,0.5712908663548162
6,29,166,highway,0.23031588962359806
72,22,169,highway,0.6928687806677888
65,16,85,highway,0.20245270838538365
57,54,53,street,0.2379751754105216
78,49,63,street,0.5387056108280498
11,107,53,street,0.9329864556414154
70,81,2,highway,0.2655754368106886
13,75,60,street,0.24244202268374937
64,91,17,highway,0.6237542205458427
29,28,182,highway,0.8595289900254883
73,5,177,street,0.13764160996948782
46,104,86,highway,0.1899130315029669
26,117,55,street,0.6020925483371291
48,99,94,highway,0.21031621463490513
116,71,189,highway,0.7646643398530001
57,36,186,street,0.8177718484602187
16,107,146,street,0.009896141950536563
78,15,85,street,0.38869480993534267
58,113,116,highway,0.13749894904697268
59,25,139,highway,0.9521750128675275
48,13,117,highway,0.4630358230559062
104,77,138,street,0.7273491856139209
14,115,23,highway,0.9648764959582434
92,46,96,highway,0.665772976247523
53,90,87,street,0.18032437909677168
112,45,84,street,0.672425604175673
34,117,85,street,0.3837243059944586
34,102,132,highway,0.9640386884057272
96,19,46,street,0.727875031185235
88,91,137,highway,0.9296673470077114
109,57,192,highway,0.7288396074685515
86,118,68,street,0.6269035392961345
103,42,18,highway,0.15184773984712785
8,55,92,highway,0.2837440155274168
72,50,47,highway,0.5347337622628823
27,61,74,highway,0.3148241527062381
109,98,124,highway,0.07870273018790608
38,21,159,street,0.9504389528959422
72,70,133,highway,0.49934091931830604
15,41,73,highway,0.36700013440225765
