product_id,warehouse,stock,category,priority
0,38,269,medicine,1
1,49,477,food,1
2,49,410,tech,1
3,31,164,food,2
4,9,764,tech,2
5,23,707,food,1
6,40,832,medicine,2
7,40,634,food,3
8,50,228,medicine,2
9,29,886,food,2
10,56,746,tech,2
11,13,162,medicine,2
12,30,821,food,1
13,52,152,food,3
14,50,795,food,1
15,3,132,medicine,1
16,12,131,tech,1
17,30,472,food,3
18,18,701,medicine,3
19,35,117,medicine,1
20,2,670,tech,1
21,47,840,food,2
22,29,649,medicine,2
23,34,685,food,1
24,59,116,tech,1
25,4,188,tech,3
26,6,200,medicine,2
27,30,672,food,3
28,32,615,medicine,3
29,50,887,medicine,1
30,22,685,food,3
31,59,558,medicine,2
32,11,170,food,2
33,26,100,medicine,1
34,43,40,medicine,3
35,47,298,tech,1
36,15,778,medicine,3
37,9,731,tech,2
38,46,54,medicine,3
39,38,15,tech,3
40,38,688,food,1
41,57,160,tech,1
42,51,112,medicine,2
43,32,66,food,1
44,27,563,tech,1
45,30,65,food,3
46,1,106,food,3
47,37,293,food,1
48,37,577,food,1
49,52,731,tech,2
50,38,447,medicine,2
51,33,482,tech,3
52,7,233,medicine,2
53,48,399,food,3
54,45,798,tech,2
55,4,454,tech,1
56,18,378,food,3
57,52,315,food,1
58,59,244,food,1
59,59,313,medicine,3
60,39,356,tech,1
61,53,589,medicine,1
62,49,62,tech,1
63,33,617,medicine,1
64,22,685,tech,3
65,49,750,medicine,2
66,59,585,tech,2
67,51,859,food,2
68,19,24,food,3
69,56,362,food,1
70,42,456,food,1
71,52,80,medicine,2
72,27,498,medicine,2
73,45,397,medicine,1
74,7,447,tech,3
75,36,262,tech,2
76,20,405,medicine,2
77,36,138,tech,2
78,15,768,food,1
79,27,479,medicine,3
80,35,265,food,3
81,1,701,medicine,2
82,22,450,medicine,3
83,40,163,tech,2
84,26,84,food,2
85,4,226,food,2
86,17,650,food,3
87,43,396,tech,1
88,18,813,medicine,2
89,48,60,food,2
90,46,124,food,3
91,10,412,tech,3
92,26,302,tech,1
93,29,820,food,3
94,27,189,food,3
95,58,678,food,1
96,47,247,food,3
97,58,685,medicine,3
98,23,728,tech,2
99,39,776,tech,1
100,16,175,food,2
101,1,116,tech,1
102,17,585,medicine,2
103,4,892,food,1
104,23,88,tech,1
105,6,281,medicine,2
106,53,365,tech,1
107,29,530,tech,3
108,3,548,medicine,2
109,48,446,tech,2
110,36,127,tech,2
111,11,212,tech,2
112,9,145,food,1
113,12,60,tech,2
114,8,588,food,2
115,5,842,food,3
116,57,525,food,1
117,31,547,medicine,1
118,2,885,medicine,2
119,32,19,medicine,1
120,17,786,tech,1
121,26,46,tech,1
122,40,318,tech,2
123,26,370,medicine,3
124,3,675,food,2
125,10,640,tech,2
126,58,411,tech,2
127,9,811,food,2
128,41,888,medicine,3
129,43,112,food,3
130,21,547,food,1
131,32,400,medicine,1
132,20,283,tech,3
133,52,683,medicine,3
134,2,322,medicine,2
135,5,644,food,1
136,41,456,medicine,1
137,30,579,food,1
138,10,752,food,3
139,13,154,food,3
140,29,375,medicine,1
141,13,617,medicine,2
142,9,351,tech,2
143,49,539,tech,3
144,49,534,tech,1
145,56,200,tech,1
146,57,757,medicine,1
147,7,587,tech,3
148,22,24,food,2
149,56,145,food,2
150,15,64,medicine,1
151,46,69,medicine,3
152,35,744,food,1
153,39,271,food,3
154,33,780,tech,2
155,28,330,tech,3
156,2,839,food,3
157,10,446,medicine,1
158,21,237,medicine,2
159,47,832,tech,1
160,17,628,tech,1
161,37,895,medicine,3
162,22,336,food,3
163,23,228,food,2
164,40,3,medicine,3
165,35,893,tech,3
166,3,59,medicine,1
167,33,17,tech,1
168,26,667,medicine,3
169,40,50,tech,2
170,52,369,medicine,2
171,39,130,tech,2
172,46,526,food,3
173,26,556,tech,1
174,8,476,medicine,3
175,36,450,medicine,3
176,15,874,tech,2
177,48,138,tech,2
178,11,617,food,1
179,43,371,food,1
180,5,627,tech,3
181,16,790,tech,3
182,2,720,food,2
183,40,775,food,2
184,53,812,food,2
185,16,239,medicine,1
186,58,345,medicine,2
187,20,715,tech,1
188,58,562,tech,2
189,44,187,tech,2
190,40,241,tech,1
191,40,575,tech,2
192,33,103,food,3
193,56,18,tech,2
194,44,541,tech,3
195,32,624,food,3
196,4,398,medicine,1
197,51,15,food,3
198,51,94,food,3
199,16,349,tech,1
200,58,224,medicine,1
201,26,300,medicine,2
202,56,453,tech,3
203,4,350,tech,3
204,35,631,medicine,1
205,32,439,tech,2
206,20,614,food,1
207,50,841,medicine,1
208,59,633,food,1
209,58,254,medicine,1
210,13,83,tech,3
211,7,676,tech,1
212,7,288,tech,2
213,47,286,medicine,1
214,52,669,food,3
215,25,783,food,1
216,37,199,food,1
217,26,481,tech,3
218,20,176,food,1
219,26,112,medicine,1
220,40,474,tech,1
221,15,498,food,1
222,25,714,medicine,1
223,45,204,medicine,3
224,54,152,tech,2
225,38,739,medicine,3
226,14,6,food,1
227,47,201,medicine,3
228,58,684,tech,3
229,21,434,food,3
230,14,306,food,1
231,40,639,tech,3
232,33,47,medicine,3
233,32,389,tech,2
234,16,29,tech,3
235,35,422,medicine,1
236,55,609,medicine,2
237,29,687,food,3
238,25,849,tech,2
239,56,687,medicine,1
240,36,746,medicine,1
241,30,746,tech,3
242,1,717,medicine,2
243,31,476,tech,2
244,3,9,medicine,2
245,41,101,medicine,3
246,59,883,food,3
247,12,247,food,2
248,33,289,food,3
249,2,391,tech,1
250,12,235,medicine,2
251,30,730,tech,2
252,20,473,medicine,2
253,26,169,food,1
254,37,415,food,3
255,49,98,tech,3
256,12,56,food,1
257,29,680,food,3
258,18,229,food,3
259,56,565,food,1
260,50,578,medicine,2
261,28,346,tech,3
262,5,725,tech,3
263,17,439,medicine,2
264,19,173,food,3
265,45,865,medicine,2
266,59,191,medicine,2
267,47,175,food,2
268,55,328,food,1
269,3,446,medicine,3
270,34,509,food,3
271,25,825,medicine,1
272,34,34,tech,3
273,12,171,medicine,2
274,3,744,food,3
275,10,747,medicine,2
276,9,892,food,2
277,35,737,tech,2
278,32,22,tech,3
279,18,807,tech,1
280,39,699,tech,1
281,59,236,medicine,2
282,14,267,medicine,1
283,54,481,tech,3
284,39,176,food,1
285,55,832,medicine,2
286,6,158,tech,1
287,31,814,medicine,3
288,32,454,medicine,1
289,24,329,food,3
290,54,96,food,1
291,18,31,medicine,2
292,54,411,tech,2
293,47,579,medicine,2
294,16,436,tech,1
295,52,345,tech,1
296,28,174,food,3
297,50,796,food,1
298,27,157,medicine,2
299,19,336,food,2
300,34,833,medicine,1
301,30,648,tech,2
302,54,754,tech,3
303,26,683,food,1
304,56,179,tech,2
305,21,417,medicine,3
306,21,622,tech,2
307,55,861,tech,1
308,44,429,tech,2
309,35,494,tech,2
310,58,18,food,3
311,59,67,medicine,1
312,41,797,tech,2
313,58,652,medicine,2
314,7,659,medicine,1
315,13,840,medicine,3
316,49,465,food,1
317,30,67,tech,2
318,21,898,tech,3
319,33,683,tech,3
320,27,538,food,2
321,33,619,medicine,1
322,29,309,tech,2
323,27,428,tech,2
324,57,321,tech,2
325,27,588,tech,1
326,16,444,food,2
327,27,421,food,3
328,39,708,tech,1
329,40,629,medicine,3
330,8,794,food,2
331,19,882,medicine,1
332,11,21,tech,3
333,24,756,food,3
334,26,362,medicine,1
335,1,101,medicine,3
336,59,766,tech,2
337,56,167,food,3
338,28,657,food,1
339,26,218,tech,3
340,2,742,medicine,3
341,12,179,food,3
342,26,410,tech,3
343,51,444,food,3
344,14,301,medicine,2
345,59,211,food,2
346,35,597,tech,1
347,46,479,medicine,1
348,59,866,medicine,1
349,53,359,tech,2
350,47,875,tech,3
351,35,632,medicine,1
352,5,896,medicine,3
353,37,740,food,3
354,30,544,tech,1
355,1,405,food,3
356,46,777,medicine,2
357,40,826,tech,3
358,46,535,food,1
359,54,189,food,2
360,24,497,medicine,2
361,33,380,tech,3
362,16,2,food,3
363,17,712,food,3
364,59,23,medicine,2
365,43,773,food,2
366,44,473,tech,3
367,45,706,tech,1
368,21,82,medicine,3
369,26,646,medicine,1
370,29,220,tech,3
371,23,169,tech,2
372,26,125,food,3
373,2,640,tech,1
374,16,198,tech,1
375,43,371,food,1
376,40,293,tech,3
377,3,58,food,1
378,7,54,food,1
379,16,130,food,2
380,57,676,medicine,3
381,20,712,food,1
382,39,389,medicine,1
383,20,529,medicine,3
384,52,11,medicine,3
385,2,630,food,2
386,31,739,medicine,1
387,27,562,medicine,1
388,39,255,medicine,3
389,47,44,food,3
390,21,639,medicine,2
391,13,753,tech,1
392,12,140,tech,3
393,48,277,medicine,3
394,21,469,tech,2
395,25,708,medicine,3
396,20,511,medicine,3
397,16,572,medicine,2
398,28,399,food,2
399,52,390,medicine,3
400,46,881,food,2
401,10,680,tech,2
402,19,239,food,1
403,20,709,food,2
404,4,444,tech,3
405,56,401,medicine,3
406,50,474,food,2
407,53,621,medicine,3
408,28,700,medicine,1
409,10,477,tech,3
410,43,211,food,2
411,50,96,medicine,3
412,47,474,medicine,2
413,21,405,food,3
414,27,12,tech,2
415,44,104,tech,1
416,45,101,tech,3
417,15,634,tech,1
418,6,302,food,2
419,51,683,medicine,2
420,44,130,food,1
421,41,359,tech,2
422,14,591,tech,2
423,52,716,medicine,3
424,23,335,tech,3
425,51,159,food,1
426,45,636,tech,3
427,32,203,food,1
428,55,890,food,2
429,18,802,food,2
430,28,870,medicine,2
431,34,461,tech,2
432,51,161,food,2
433,52,540,medicine,1
434,43,810,tech,1
435,44,666,food,1
436,58,357,medicine,2
437,8,558,tech,2
438,6,407,medicine,2
439,53,411,tech,1
440,15,580,tech,2
441,40,337,food,3
442,3,366,tech,2
443,56,399,tech,3
444,5,458,medicine,1
445,48,554,tech,2
446,4,893,food,2
447,50,422,medicine,3
448,38,288,medicine,2
449,28,649,medicine,3
450,59,447,medicine,2
451,10,217,medicine,2
452,48,817,food,2
453,38,337,medicine,1
454,34,539,food,2
455,36,452,medicine,3
456,39,620,tech,1
457,49,270,food,2
458,26,371,medicine,1
459,38,796,tech,3
460,2,727,tech,2
461,51,686,medicine,1
462,56,173,food,1
463,13,267,food,1
464,42,763,food,1
465,16,552,tech,2
466,31,700,medicine,3
467,59,385,tech,1
468,44,742,medicine,2
469,43,898,medicine,3
470,46,641,tech,1
471,10,364,medicine,2
472,34,369,food,3
473,1,356,tech,3
474,5,624,medicine,3
475,7,858,medicine,3
476,4,479,food,3
477,34,142,tech,2
478,35,505,tech,1
479,47,482,food,3
480,7,886,medicine,2
481,49,223,medicine,3
482,50,1,medicine,2
483,3,424,tech,3
484,34,633,tech,2
485,43,811,medicine,2
486,51,747,medicine,2
487,47,548,food,3
488,22,616,food,3
489,16,232,medicine,2
490,23,401,food,1
491,53,883,medicine,2
492,49,185,food,1
493,34,37,food,1
494,16,178,medicine,2
495,27,168,food,2
496,43,613,tech,3
497,10,751,food,3
498,3,264,tech,1
499,46,23,tech,2
500,1,279,food,1
501,34,734,medicine,1
502,43,167,tech,1
503,7,813,tech,2
504,39,407,medicine,1
505,35,79,medicine,2
506,25,605,food,1
507,35,479,medicine,1
508,43,203,medicine,1
509,31,241,medicine,3
510,57,327,tech,3
511,5,717,tech,3
512,49,811,tech,2
513,56,811,medicine,3
514,19,153,medicine,2
515,39,395,tech,2
516,18,434,tech,1
517,41,192,medicine,2
518,11,131,medicine,3
519,5,277,food,1
520,33,332,tech,2
521,10,405,food,1
522,37,36,medicine,3
523,18,724,food,2
524,4,78,food,3
525,53,649,medicine,2
526,48,26,food,2
527,24,73,food,3
528,14,473,tech,3
529,55,516,medicine,1
530,5,406,food,1
531,36,284,tech,1
532,47,189,food,2
533,22,586,food,2
534,4,797,medicine,3
535,22,478,tech,2
536,23,6,medicine,3
537,44,335,medicine,2
538,1,182,medicine,1
539,1,675,tech,2
540,13,772,medicine,2
541,27,471,food,3
542,53,579,medicine,2
543,27,335,medicine,2
544,42,473,tech,1
545,47,685,medicine,1
546,44,886,medicine,1
547,59,296,food,1
548,8,732,food,1
549,13,331,tech,3
550,58,413,medicine,2
551,54,518,medicine,2
552,27,623,tech,1
553,44,126,medicine,1
554,28,100,medicine,1
555,57,476,tech,2
556,19,116,food,2
557,47,883,medicine,2
558,5,551,food,2
559,21,134,tech,2
560,53,702,tech,3
561,53,582,food,3
562,56,424,food,2
563,18,761,tech,2
564,5,227,tech,1
565,3,556,food,2
566,27,383,tech,1
567,20,893,medicine,1
568,41,337,food,3
569,53,615,food,2
570,8,830,tech,3
571,25,625,medicine,2
572,34,193,tech,2
573,47,218,medicine,3
574,13,649,food,3
575,32,234,tech,1
576,25,291,tech,2
577,9,804,medicine,3
578,44,717,medicine,3
579,27,178,tech,3
580,30,748,food,3
581,55,81,food,3
582,3,267,medicine,2
583,25,545,medicine,2
584,41,572,medicine,3
585,14,461,food,3
586,15,404,food,1
587,52,769,tech,3
588,37,460,medicine,2
589,26,554,food,1
590,27,520,food,1
591,8,759,medicine,3
592,59,109,tech,1
593,17,220,food,3
594,2,826,medicine,1
595,21,588,medicine,2
596,55,842,food,3
597,46,37,medicine,2
598,48,448,medicine,3
599,4,545,food,1
600,50,745,food,3
601,21,429,tech,1
602,21,836,food,1
603,15,487,food,1
604,17,862,medicine,2
605,25,496,food,3
606,47,250,food,1
607,25,693,medicine,2
608,51,58,tech,2
609,16,704,food,2
610,57,76,tech,2
611,21,271,food,1
612,18,601,tech,2
613,44,150,tech,2
614,42,455,medicine,1
615,4,185,food,1
616,3,395,medicine,2
617,14,59,medicine,2
618,43,590,tech,1
619,53,152,medicine,3
620,44,639,tech,2
621,29,301,tech,3
622,52,596,tech,2
623,55,805,tech,3
624,44,512,tech,1
625,39,30,food,3
626,21,774,tech,3
627,16,567,tech,3
628,57,646,medicine,2
629,51,179,medicine,1
630,15,693,medicine,3
631,8,747,medicine,3
632,50,708,medicine,2
633,18,775,food,2
634,48,821,tech,3
635,12,120,food,3
