u,v,weight,transport_type,risk
6,56,91,road,2
57,61,65,air,3
19,58,75,road,4
21,4,41,air,2
7,32,74,air,4
51,52,102,rail,2
27,42,25,rail,4
46,16,56,rail,4
14,21,120,road,2
66,31,95,air,3
2,53,145,air,3
68,32,45,rail,2
49,64,98,rail,1
41,16,118,road,5
17,41,11,rail,3
43,28,23,rail,5
16,64,120,rail,4
8,65,88,rail,4
14,36,127,air,2
64,5,84,air,5
49,17,131,air,2
11,31,88,rail,3
23,34,46,air,3
39,35,140,road,4
11,40,107,rail,1
27,48,29,air,2
48,12,88,rail,3
6,11,125,rail,1
6,70,39,rail,1
41,42,80,rail,4
66,7,118,rail,5
19,61,36,road,2
15,41,101,road,2
3,66,25,air,1
25,27,20,rail,1
42,45,56,road,5
16,69,71,air,2
48,50,94,rail,1
51,63,116,air,1
13,36,149,rail,5
41,5,30,rail,3
66,30,122,air,3
55,21,43,air,3
12,51,44,road,1
5,58,91,rail,2
70,53,22,rail,2
0,12,55,rail,4
43,70,66,rail,3
39,12,61,road,5
11,7,18,air,1
36,59,19,road,1
23,53,69,rail,2
35,2,98,rail,1
3,7,57,road,4
59,20,101,air,4
20,43,2,air,5
9,11,121,road,1
63,50,42,air,3
37,65,34,air,1
37,63,71,road,1
14,40,9,road,3
18,19,115,rail,4
28,34,149,air,1
69,39,85,rail,1
63,20,141,rail,1
36,16,61,air,3
6,24,113,rail,2
4,68,128,road,1
12,35,36,road,3
24,68,34,road,1
54,66,53,road,3
33,55,63,air,2
47,0,28,rail,5
9,43,48,road,5
36,63,148,road,4
26,40,134,air,3
19,2,72,air,3
17,5,94,road,1
27,17,116,road,1
69,41,73,air,2
64,42,38,road,1
6,21,94,road,3
2,11,78,road,3
31,4,19,air,2
15,14,26,road,4
35,48,83,road,5
24,38,148,rail,2
21,55,28,rail,5
27,11,52,air,4
66,15,20,rail,5
41,65,74,rail,5
58,56,105,road,4
26,42,24,air,1
64,51,136,rail,2
10,13,51,road,5
56,58,32,road,2
28,24,129,road,4
35,12,24,rail,3
2,9,32,road,4
32,41,145,road,1
33,57,92,rail,1
66,45,89,road,3
25,16,82,rail,2
70,10,11,rail,3
58,10,46,road,1
18,28,78,road,1
29,40,57,road,5
15,5,144,air,2
22,56,70,air,3
14,2,140,road,5
63,1,99,rail,2
47,33,116,air,3
52,16,92,rail,2
19,25,123,rail,3
67,68,25,road,4
30,42,133,rail,3
38,52,137,air,4
56,70,36,road,3
41,49,66,air,5
52,61,97,road,1
52,62,38,air,5
67,43,141,road,2
23,3,80,air,4
44,41,145,air,3
12,36,45,road,5
39,31,1,rail,4
0,65,98,rail,2
24,21,142,rail,2
55,28,141,rail,3
55,44,59,air,3
14,56,14,road,3
32,56,12,road,1
26,19,60,rail,4
0,47,66,rail,3
69,60,93,air,2
63,46,78,rail,3
11,56,30,road,4
47,8,97,rail,3
38,60,25,air,2
47,35,46,road,4
63,2,95,road,1
28,5,47,air,5
2,33,75,road,5
19,56,18,road,3
66,41,66,rail,3
59,4,17,road,2
33,66,1,rail,3
32,8,52,air,1
45,43,100,rail,4
69,63,83,rail,1
29,35,133,road,5
3,64,49,rail,1
29,35,145,rail,2
8,16,145,road,1
40,63,24,rail,2
10,59,12,rail,5
37,34,69,road,5
6,58,68,road,2
14,37,135,rail,2
35,62,38,air,2
67,22,50,air,2
63,39,96,rail,1
56,65,124,rail,5
13,38,133,road,3
23,56,45,air,2
9,53,124,rail,4
25,24,140,rail,5
45,64,45,road,3
25,46,38,road,5
4,2,28,road,2
63,6,51,rail,3
68,34,45,air,5
52,13,46,air,3
3,47,130,road,4
42,68,25,rail,2
49,13,54,air,5
31,5,2,air,3
48,0,102,air,5
38,11,132,air,2
54,22,22,air,2
7,69,89,air,3
11,37,91,rail,3
0,3,43,air,1
35,65,81,air,1
38,57,63,air,5
28,1,106,rail,5
52,21,4,road,1
4,62,58,road,2
48,70,25,rail,1
34,23,87,air,2
27,26,45,road,1
33,0,86,road,2
63,69,135,air,3
19,6,139,air,4
70,45,34,air,2
50,12,18,rail,3
58,14,65,road,3
58,56,18,road,1
54,59,137,road,5
65,29,89,air,2
68,29,137,air,2
70,24,25,rail,4
0,28,4,rail,3
47,46,5,air,4
47,64,89,road,3
12,28,88,air,2
66,3,89,road,3
38,13,84,rail,4
39,26,132,air,1
31,6,114,rail,1
6,41,113,rail,3
32,35,57,air,1
2,27,69,road,4
9,56,68,air,1
6,26,6,road,5
15,33,50,rail,4
63,19,64,road,5
32,60,56,road,2
66,4,56,road,4
60,9,54,road,4
52,55,140,road,5
16,40,130,rail,1
35,0,50,road,5
44,53,86,air,5
16,27,144,rail,2
49,32,140,air,1
5,10,32,air,5
55,7,44,rail,3
43,51,48,air,5
2,51,67,rail,1
2,24,10,rail,1
55,0,52,road,4
9,40,93,road,4
25,55,1,rail,5
57,0,113,road,3
53,61,132,rail,5
36,47,34,road,5
49,31,121,air,1
49,10,70,rail,4
52,64,11,road,5
28,70,88,air,4
36,58,31,air,4
23,19,40,rail,3
67,6,96,rail,5
70,8,99,rail,1
7,58,46,air,3
22,17,98,road,4
2,66,115,air,1
34,67,144,rail,5
31,61,136,rail,2
6,7,55,rail,2
7,24,106,rail,5
67,64,143,air,2
22,14,92,air,3
0,41,20,air,5
3,14,92,road,5
26,3,116,road,1
36,13,107,air,2
62,54,49,rail,5
14,55,97,road,3
55,26,27,road,1
70,21,115,air,3
37,30,128,road,1
12,44,70,air,4
62,30,13,rail,5
50,57,15,air,1
44,12,111,road,3
38,69,112,air,1
66,56,18,road,4
5,64,12,rail,2
44,70,13,road,2
32,37,27,air,4
10,20,75,rail,4
3,33,138,rail,3
42,25,102,rail,3
54,67,43,road,4
48,44,85,road,5
28,54,136,air,4
51,57,98,air,3
26,59,54,air,1
61,59,115,air,2
39,37,12,air,1
37,28,62,rail,3
62,25,137,rail,4
21,1,103,road,2
31,59,63,road,4
5,57,36,road,2
46,18,71,road,3
55,33,97,road,3
8,60,114,air,2
16,17,120,air,4
18,53,145,rail,5
16,44,148,road,5
36,11,136,air,2
10,55,2,air,5
25,61,26,air,3
25,18,133,road,2
39,27,44,air,3
10,23,149,rail,1
41,23,33,rail,5
44,5,124,road,3
64,11,85,road,1
51,33,63,air,1
56,23,150,rail,2
66,44,80,rail,1
12,56,130,rail,2
41,16,103,air,4
25,14,66,rail,4
48,5,106,air,5
34,50,7,air,5
40,33,124,road,1
9,13,135,air,4
53,2,30,road,1
1,5,121,road,3
47,61,149,road,2
28,23,37,air,2
17,10,5,rail,2
65,53,71,road,3
28,36,149,rail,5
21,16,117,road,1
20,50,44,road,4
5,32,148,air,2
12,37,51,rail,3
36,9,55,rail,1
11,49,11,rail,1
29,38,143,air,5
4,34,112,air,4
33,39,72,rail,2
48,54,129,rail,2
63,45,65,road,3
47,33,83,road,2
28,48,37,road,2
56,40,128,air,2
42,40,4,rail,3
26,2,66,rail,5
25,59,69,road,4
11,9,140,air,2
54,45,128,road,3
63,0,123,road,2
55,21,93,air,2
16,25,91,rail,3
2,62,140,rail,3
37,47,115,rail,2
27,33,126,air,3
49,9,67,road,3
26,55,67,rail,5
59,9,78,air,1
55,31,26,rail,5
32,11,117,air,5
61,66,88,road,2
30,46,6,rail,4
31,18,82,rail,4
62,0,119,air,2
15,52,109,rail,2
67,42,118,rail,3
57,26,81,rail,1
6,2,71,rail,1
37,27,106,rail,1
38,53,61,air,5
43,38,133,rail,1
58,39,90,air,3
31,61,52,air,4
57,41,129,rail,1
47,8,144,rail,2
32,41,138,road,5
30,29,120,air,4
49,8,128,rail,3
4,0,114,road,4
60,36,85,air,4
25,34,100,air,2
6,0,142,rail,2
46,52,73,rail,1
38,39,104,road,4
12,54,68,road,2
63,20,96,rail,5
57,19,105,air,1
11,55,81,rail,4
20,45,5,road,1
41,9,145,rail,5
38,54,141,road,2
47,70,27,road,1
15,55,30,road,3
63,48,38,rail,2
31,32,56,air,3
67,2,101,air,3
17,13,59,road,4
38,47,90,air,2
65,42,14,rail,4
27,45,88,rail,4
67,2,98,road,1
58,61,88,air,3
26,50,129,rail,2
40,27,127,road,3
23,19,69,air,1
28,9,8,rail,5
60,56,71,air,1
61,26,136,air,1
33,8,32,air,5
65,2,135,road,1
54,49,21,road,2
70,23,59,road,4
0,12,84,road,2
31,14,86,air,1
40,7,56,air,2
42,10,84,road,2
52,13,132,rail,2
33,54,15,rail,5
54,14,39,road,5
15,14,131,rail,2
40,70,102,air,3
64,59,55,rail,5
10,12,86,road,5
29,45,123,rail,4
46,5,145,rail,1
14,25,89,rail,1
23,36,72,rail,2
21,35,112,air,2
20,58,145,road,3
7,57,1,rail,3
50,67,126,air,4
28,58,57,air,3
64,61,146,road,5
18,8,22,rail,4
39,64,76,road,3
8,11,112,rail,5
45,7,113,road,3
8,22,88,air,1
49,42,47,air,4
15,60,112,rail,3
9,39,149,road,3
58,7,41,road,2
53,2,15,air,4
10,2,120,air,5
20,5,22,rail,5
42,44,72,air,2
25,19,38,air,1
59,45,13,air,5
49,2,78,road,3
62,27,44,rail,4
32,48,133,road,2
38,39,138,road,5
23,50,7,road,5
54,33,41,road,5
22,24,105,rail,1
43,56,71,air,5
14,28,139,road,2
15,48,140,road,1
40,68,91,air,5
21,48,15,air,2
61,44,103,rail,3
53,13,80,road,4
37,16,111,air,5
54,13,16,rail,4
20,26,58,rail,5
38,36,64,air,4
54,62,110,road,1
57,13,103,air,5
36,41,20,air,5
27,54,34,air,4
13,59,15,road,2
35,69,143,air,3
64,44,22,air,2
10,25,130,road,1
17,40,16,rail,1
27,13,74,air,1
52,28,102,rail,1
19,50,38,road,4
10,57,46,rail,1
55,13,15,rail,4
19,14,141,road,5
42,4,3,rail,4
18,68,106,road,5
5,66,3,rail,2
3,68,141,rail,5
17,29,142,road,1
23,17,148,road,5
9,30,91,air,4
48,40,56,air,2
11,62,59,road,2
17,11,54,rail,4
52,35,84,air,2
3,43,10,rail,2
46,23,134,road,4
54,26,42,road,2
5,56,82,rail,3
43,0,75,road,4
4,30,147,air,2
24,36,104,rail,4
30,17,90,air,5
25,51,14,air,2
18,14,48,road,1
27,23,34,road,1
64,43,25,rail,4
33,35,12,air,4
45,70,127,air,1
30,51,73,road,1
36,40,55,air,4
37,3,124,road,3
44,47,28,air,3
54,30,123,air,1
12,29,20,air,3
18,36,102,air,3
15,8,52,road,5
57,61,45,rail,1
0,45,21,air,4
10,16,118,air,3
59,42,7,air,2
69,37,4,rail,3
59,56,133,road,1
33,52,101,air,4
41,32,101,rail,5
54,9,81,rail,3
11,18,111,air,2
69,64,63,rail,1
70,68,143,rail,5
24,21,118,air,2
25,57,34,road,3
56,45,119,rail,5
23,28,100,rail,3
41,4,33,road,2
24,44,128,road,3
69,65,28,rail,3
30,24,80,rail,3
33,30,129,rail,4
43,68,149,air,5
60,40,33,road,3
45,57,91,air,5
41,12,123,rail,1
56,69,109,road,4
47,63,95,rail,5
30,40,107,rail,2
5,34,112,rail,2
2,47,14,air,3
0,68,127,rail,4
61,10,108,air,1
26,55,5,rail,2
34,46,93,road,2
51,67,106,road,3
27,10,56,road,3
42,70,81,air,4
8,63,49,road,4
24,34,139,rail,5
52,64,143,rail,2
31,2,75,road,2
60,68,35,rail,5
39,30,109,air,5
5,25,90,rail,5
53,20,102,road,4
30,40,68,rail,1
58,34,101,air,4
0,26,8,air,2
29,3,78,road,4
26,30,6,road,5
3,41,22,rail,1
60,27,46,road,1
54,47,47,rail,5
36,5,56,air,3
47,58,43,air,1
41,53,128,road,1
42,52,31,air,3
23,33,148,air,3
53,2,31,rail,4
9,6,44,road,2
49,13,53,rail,5
9,5,104,road,3
50,55,131,air,2
42,12,47,rail,3
10,63,136,air,2
7,52,104,rail,4
14,65,53,rail,4
41,11,88,road,3
7,21,85,rail,5
11,7,7,air,5
12,20,42,rail,5
37,55,122,rail,2
24,2,75,rail,3
63,44,80,air,5
33,6,107,road,2
36,44,49,air,4
30,43,54,road,3
4,24,145,road,5
15,17,130,air,3
59,53,72,air,2
25,52,32,road,5
69,43,6,rail,1
15,25,43,rail,5
30,28,140,rail,3
56,41,115,rail,4
36,11,80,road,3
70,13,12,air,4
38,49,98,road,2
3,36,77,road,5
44,63,55,road,4
63,66,24,road,4
35,61,55,road,3
55,28,145,rail,3
60,50,134,air,2
46,41,43,rail,4
67,46,105,rail,2
56,1,39,air,3
20,56,39,rail,4
6,7,88,rail,3
28,31,51,road,2
23,36,26,air,1
53,51,25,air,3
54,44,131,rail,4
44,49,24,air,4
47,67,45,air,4
59,29,7,road,4
8,31,12,rail,3
6,32,32,air,5
48,8,64,air,4
48,12,44,road,3
26,62,134,air,1
33,52,31,rail,5
61,42,26,road,5
55,26,102,rail,5
66,23,16,road,2
23,44,31,rail,4
33,46,32,air,3
57,29,136,air,2
35,2,30,road,2
0,2,34,air,3
15,37,49,rail,2
27,15,118,rail,1
36,16,49,rail,4
0,46,108,rail,4
56,23,18,air,2
70,49,113,road,3
57,52,141,road,4
41,42,93,road,4
34,67,54,road,1
2,8,48,air,2
64,39,3,road,5
67,33,93,road,1
13,52,105,road,1
2,33,112,air,5
54,31,96,road,4
52,3,69,rail,5
24,35,144,air,1
58,25,145,air,1
59,29,16,rail,1
66,53,13,rail,4
68,52,100,rail,3
41,63,67,road,4
19,51,127,road,4
68,34,64,rail,1
38,43,55,rail,3
42,41,24,air,3
18,51,10,road,4
17,45,102,road,3
0,62,137,rail,4
59,41,101,rail,5
28,24,12,road,2
9,29,53,rail,5
30,43,83,rail,5
23,50,95,air,2
34,44,94,rail,5
11,23,37,road,3
65,56,128,rail,1
0,29,23,road,5
54,56,27,air,4
9,36,13,road,4
40,0,73,rail,5
56,44,116,road,5
15,14,80,rail,2
33,8,144,road,1
70,50,58,air,1
28,23,104,rail,5
34,0,146,air,3
21,53,32,air,3
36,13,77,air,1
32,13,119,road,4
52,48,36,rail,5
69,1,21,air,5
63,28,17,road,4
24,3,130,road,2
38,68,51,air,2
49,18,72,rail,4
55,25,138,air,5
46,26,114,road,3
18,17,93,road,5
20,13,82,road,5
54,24,24,road,5
2,39,91,road,3
24,36,61,road,4
46,28,112,air,1
66,24,47,road,4
64,0,67,air,5
17,45,137,rail,2
61,56,132,road,3
65,2,54,rail,3
25,41,143,rail,4
15,65,24,rail,2
40,55,108,air,1
65,56,20,rail,3
10,54,54,air,3
21,55,122,air,3
69,67,96,rail,5
36,41,30,road,2
0,39,132,air,4
28,29,49,road,1
64,10,132,air,5
67,65,1,air,4
16,33,83,road,3
63,37,65,road,5
53,65,96,rail,5
51,31,32,air,4
23,11,149,road,4
24,52,55,air,2
18,56,112,road,4
64,43,100,road,4
37,32,13,air,1
13,16,34,air,1
21,56,46,road,5
23,48,49,road,2
19,32,103,air,4
55,68,45,air,4
13,15,50,air,4
69,14,26,air,5
41,58,75,rail,5
69,65,74,road,5
45,59,55,air,2
25,27,131,road,3
52,9,22,rail,1
39,19,27,air,4
17,45,97,rail,1
3,27,5,air,1
29,8,52,air,4
47,36,39,rail,1
13,20,82,road,3
19,36,83,rail,2
53,45,60,rail,3
65,66,36,rail,4
41,63,89,road,5
51,16,88,road,5
9,43,5,rail,4
65,23,90,air,2
62,37,123,air,2
52,9,5,road,5
13,34,49,rail,4
13,25,31,road,3
52,48,130,road,3
62,59,3,road,5
41,60,59,rail,4
55,14,134,road,5
32,20,145,air,5
27,42,143,air,4
60,17,84,rail,5
21,55,123,road,1
0,32,49,road,5
29,69,90,rail,2
36,12,77,road,5
68,7,80,air,2
61,27,132,rail,5
30,38,47,road,1
1,14,141,road,3
68,15,97,rail,2
18,34,8,rail,1
49,9,74,rail,3
20,60,99,rail,4
42,39,43,air,5
49,51,55,air,5
30,52,148,rail,5
67,33,88,road,1
10,38,24,rail,4
12,29,146,air,2
26,64,77,road,2
18,36,106,rail,4
10,22,3,rail,2
60,31,85,road,3
14,0,121,air,2
37,12,80,rail,3
25,27,40,rail,1
2,66,131,air,5
54,50,17,road,3
64,29,126,air,2
34,47,30,road,2
1,10,81,rail,3
30,17,81,air,1
67,41,28,rail,4
15,2,19,air,3
56,29,72,road,5
69,14,67,rail,2
37,29,67,rail,5
