segment_id,pipe_id,from_node,to_node,length_m,diameter_mm,flow_lps,pressure_bar
1,249,26,267,2501,300,79.57,1.23
2,380,192,70,2637,200,96.47,4.91
3,327,257,190,2786,250,196.67,5.38
4,1776,344,83,1079,100,24.55,4.56
5,1251,310,175,1572,200,34.78,4.78
6,1140,98,117,1272,150,136.57,5.49
7,1609,312,382,2919,300,128.7,3.06
8,551,103,312,1401,100,138.71,5.12
9,1605,384,309,2154,300,119.27,5.86
10,412,346,134,819,300,19.01,2.45
11,648,357,229,2308,100,24.81,1.44
12,308,84,214,823,250,159.95,5.38
13,1284,393,187,379,300,23.45,5.35
14,537,168,63,135,300,61.62,3.04
15,531,142,304,1030,100,179.2,3.67
16,376,187,500,2988,100,147.64,0.97
17,387,399,482,2793,200,4.98,3.67
18,719,251,378,2804,400,100.92,5.22
19,662,265,358,1253,250,57.73,5.52
20,1641,77,218,74,200,129.42,5.78
21,1384,298,47,2466,200,187.59,4.89
22,1670,441,413,590,250,32.32,4.78
23,804,457,113,2383,200,22.52,3.63
24,965,337,111,118,400,83.25,2.88
25,355,394,240,2291,400,145.65,4.05
26,935,223,224,193,150,5.13,1.89
27,812,147,198,2658,250,58.82,3.04
28,1796,272,194,1257,150,21.97,5.6
29,1170,425,463,716,250,155.54,5.68
30,1484,48,499,114,100,107.03,1.57
31,76,312,75,592,400,20.82,1.73
32,561,174,397,1540,100,154.68,2.98
33,740,328,341,2942,400,7.85,3.51
34,1818,373,7,1266,300,182.31,1.97
35,46,245,407,2281,100,39.12,5.11
36,1474,375,32,644,250,36.14,5.59
37,1808,327,264,1943,400,26.85,2.9
38,329,399,242,514,400,86.99,2.59
39,338,160,47,242,400,123.55,4.72
40,1681,8,192,1292,300,29.58,2.31
41,1823,118,141,1744,250,63.83,3.03
42,1840,495,63,2310,300,110.91,2.22
43,306,248,423,1076,400,84.11,3.14
44,498,141,475,2344,200,103.41,5.22
45,494,180,36,1660,100,146.69,1.49
46,209,39,286,929,400,95.83,1.97
47,1645,182,458,103,100,167.48,1.58
48,10,116,46,1892,250,143.09,3.74
49,1551,333,115,2937,300,41.04,2.23
50,290,185,339,497,150,195.97,4.24
51,1238,78,149,2596,200,183.98,1.64
52,1264,100,224,2441,250,121.07,5.68
53,794,38,4,703,200,4.08,5.28
54,1325,401,492,2783,300,7.28,1.67
55,1062,327,85,1043,200,48.62,1.53
56,1124,496,368,264,100,47.66,2.43
57,1217,138,153,957,100,174.72,3.51
58,75,400,341,862,300,148.86,4.88
59,1243,374,327,1782,400,57.03,2.2
60,772,238,137,1441,300,117.96,1.59
61,305,239,153,1973,200,132.39,3.43
62,1607,119,272,57,150,77.75,2.59
63,758,147,220,2902,150,148.39,1.99
64,1974,289,436,2924,300,146.72,5.44
65,533,381,93,2156,250,39.19,4.35
66,1680,344,270,2660,250,75.66,1.39
67,716,317,112,2231,400,149.68,1.62
68,1407,500,306,1676,300,19.56,5.15
69,795,454,157,2622,400,173.41,2.85
70,1204,376,208,2322,150,197.41,4.91
71,1119,263,174,476,300,196.63,3.45
72,1628,475,189,818,100,32.7,5.14
73,1918,290,200,660,100,3.72,2.6
74,1179,223,156,2781,400,80.03,3.18
75,164,480,103,737,200,54.71,3.81
76,597,317,182,2999,300,191.1,1.14
77,1607,462,362,623,100,18.48,4.36
78,1166,68,385,2594,150,188.15,5.65
79,1065,398,49,76,400,120.61,3.09
80,1995,434,325,387,250,134.75,1.57
81,448,392,435,78,300,59.76,2.63
82,1100,24,488,1773,400,88.61,4.43
83,201,102,439,1288,400,28.46,4.92
84,430,48,339,2547,250,68.52,2.88
85,397,90,51,2944,250,36.17,1.28
86,707,419,125,2943,100,80.38,4.76
87,1246,472,416,2568,150,186.88,4.03
88,857,256,88,36,200,6.79,4.36
89,1270,231,46,1718,200,128.62,1.23
90,310,349,207,1533,400,118.13,3.37
91,1398,30,159,2769,200,87.98,2.54
92,1762,126,298,2698,150,166.41,3.16
93,1389,158,144,2289,200,27.15,4.8
94,54,255,486,1464,100,137.58,4.96
95,1018,298,433,59,300,156.8,5.36
96,1162,348,423,1181,200,163.66,3.04
97,1428,434,478,1552,150,129.17,1.88
98,749,382,26,2331,200,162.72,5.11
99,127,483,41,2458,250,155.77,3.35
100,271,466,190,2651,200,154.29,2.06
101,425,197,427,86,100,159.81,1.69
102,1037,229,312,455,100,40.53,5.29
103,328,263,221,35,150,191.18,3.36
104,638,114,426,837,200,48.18,4.62
105,1021,257,249,999,150,44.0,3.5
106,1735,126,72,2872,200,94.64,2.25
107,1184,98,341,694,200,83.62,3.75
108,231,459,488,2026,200,110.98,0.98
109,1337,99,257,1961,400,66.04,3.58
110,93,104,236,119,400,161.46,4.08
111,10,289,53,1673,150,22.81,2.1
112,1381,213,259,2790,300,5.81,1.34
113,1607,189,451,1729,400,76.78,5.46
114,60,292,387,118,250,110.46,3.11
115,1125,19,172,409,200,192.71,5.61
116,609,66,36,2432,400,91.51,2.49
117,355,83,6,2390,250,54.74,2.15
118,1654,34,378,1843,400,194.24,5.09
119,960,228,497,2112,150,9.3,1.72
120,1498,495,6,1042,300,153.07,3.69
121,456,498,342,2568,200,172.61,1.05
122,568,33,438,1657,250,91.93,1.94
123,1634,225,185,2172,300,63.37,2.32
124,1640,239,335,1809,250,95.95,3.21
125,1267,298,375,2630,400,15.24,4.31
126,1865,267,499,970,100,174.71,4.63
127,161,140,1,876,250,70.55,3.16
128,1602,353,225,2368,150,103.51,4.21
129,993,357,494,2223,250,97.69,4.7
130,1961,266,464,2985,400,140.99,5.65
131,1430,186,137,2523,300,111.0,2.48
132,1012,310,253,2864,400,169.43,4.92
133,978,384,368,2612,100,190.98,4.39
134,654,236,91,2038,300,169.35,4.1
135,725,485,366,925,200,180.93,3.63
136,1370,106,461,2089,150,113.82,3.47
137,1985,367,440,2224,250,172.6,3.51
138,948,385,200,516,400,96.03,5.76
139,112,211,313,711,250,108.87,2.8
140,840,38,396,1644,400,84.58,4.5
141,920,2,492,1332,400,116.43,4.23
142,1175,139,175,2811,400,156.85,3.04
143,1373,119,319,1699,300,50.45,1.26
144,1118,186,23,960,400,16.79,2.2
145,841,191,461,959,250,141.21,3.3
146,511,129,290,2814,400,28.87,1.5
147,1584,359,35,1582,150,170.25,3.98
148,937,24,46,921,400,99.64,2.59
149,985,438,152,828,150,54.95,4.79
150,368,340,393,1830,150,59.35,2.99
151,162,347,334,883,400,112.06,1.35
152,1193,474,265,1944,100,176.98,3.86
153,698,144,18,2396,300,176.48,4.52
154,1275,140,352,406,100,26.54,3.92
155,646,192,327,1180,250,78.13,4.25
156,1936,422,240,1116,150,56.0,4.75
157,360,177,311,1813,300,195.4,3.03
158,1425,72,352,1671,300,25.45,3.54
159,53,261,361,965,400,119.86,3.83
160,719,31,468,1268,200,187.02,4.85
161,981,459,79,395,250,12.21,1.66
162,1311,275,22,252,150,198.75,3.85
163,993,38,133,155,100,45.87,1.52
164,704,129,61,1565,400,136.01,1.45
165,1597,246,377,2129,200,10.41,1.58
166,163,88,154,1296,300,45.62,1.81
167,162,142,400,2025,250,166.83,3.15
168,181,461,140,1787,250,93.11,2.01
169,1787,58,451,485,150,47.58,5.83
170,447,213,226,527,200,98.73,5.04
171,989,105,450,1754,400,148.56,5.52
172,109,365,365,109,300,17.43,4.59
173,1323,492,343,126,150,182.39,3.79
174,1620,423,212,1711,150,178.78,3.5
175,1259,199,473,1322,150,51.73,4.63
176,1998,235,95,289,300,71.61,1.76
177,1109,339,318,613,300,173.46,2.43
178,1165,482,124,1151,200,177.8,3.39
179,1729,308,462,2003,400,191.3,3.58
180,618,97,419,2207,300,153.13,2.05
181,1621,250,90,1563,300,137.56,4.35
182,1706,194,348,2412,100,114.0,1.16
183,330,439,487,1514,200,180.67,4.42
184,1111,435,312,513,250,183.42,4.1
185,1797,45,273,709,200,160.03,2.89
186,1890,105,225,732,300,105.93,2.75
187,1678,435,297,2026,200,198.45,2.96
188,1551,417,53,454,150,89.75,4.52
189,631,12,292,1460,200,180.63,1.58
190,1605,33,55,2063,250,164.19,2.98
191,1175,320,456,860,250,5.22,5.22
192,1612,273,158,2158,250,32.84,3.02
193,1223,314,141,2649,200,71.33,1.12
194,1869,494,251,1496,300,3.56,1.45
195,1660,99,115,2448,300,26.11,4.66
196,1032,366,231,1460,300,184.68,3.43
197,634,403,436,1049,150,52.9,2.49
198,1908,115,244,1731,200,35.35,2.26
199,128,442,39,1028,200,104.96,2.63
200,1273,3,346,2681,100,114.12,1.5
201,173,239,19,1320,250,66.54,3.43
202,177,76,33,1547,100,92.85,2.84
203,1025,219,392,588,100,7.46,2.32
204,1971,381,388,1761,400,131.54,2.72
205,1385,58,122,2641,250,74.65,1.6
206,492,58,268,2548,100,50.93,1.89
207,177,2,447,1055,300,11.79,2.59
208,1058,374,371,1937,300,75.29,4.78
209,1626,21,351,1094,250,13.9,3.1
210,140,223,1,1244,300,198.7,1.65
211,182,369,54,970,300,177.89,5.48
212,1873,121,202,955,150,158.96,5.15
213,1604,207,174,2738,200,194.39,4.64
214,779,246,145,941,200,168.92,5.2
215,1940,178,415,1172,250,124.74,5.62
216,1672,128,436,1769,150,175.88,4.13
217,404,260,274,843,150,174.89,2.94
218,1567,373,19,2668,200,86.91,2.43
219,1751,410,328,56,100,62.85,4.91
220,9,18,92,1888,400,165.58,2.6
221,270,348,401,84,400,127.46,3.23
222,948,359,285,2273,200,37.48,3.47
223,1300,48,63,677,150,5.99,5.11
224,156,255,57,2386,400,50.18,4.75
225,1470,287,161,1416,400,80.99,1.77
226,1261,87,85,2799,100,67.03,0.87
227,982,57,20,1082,100,88.88,3.7
228,1171,236,261,899,250,172.52,2.49
229,1221,367,402,1398,100,20.19,4.35
230,20,300,447,1971,250,160.83,5.22
231,1654,317,196,2131,200,162.9,1.06
232,368,438,376,1260,300,29.55,2.21
233,1910,360,314,2125,300,74.41,5.49
234,256,329,327,320,400,84.91,2.59
235,1845,250,438,1442,150,73.42,2.49
236,1881,425,90,867,400,3.64,5.37
237,1674,126,325,29,100,34.24,2.76
238,1026,336,219,538,150,33.49,1.76
239,1038,34,196,998,200,38.18,1.34
240,1120,103,489,144,200,16.26,5.91
241,1848,310,63,2854,400,18.05,2.92
242,1337,270,279,2171,150,156.41,3.18
243,128,84,363,864,150,198.21,5.66
244,932,132,378,2051,250,45.32,1.82
245,1412,467,384,342,100,190.73,3.11
246,780,256,417,620,300,113.46,1.8
247,1377,25,363,371,100,97.22,5.64
248,1360,101,231,1400,250,86.67,5.16
249,213,53,152,679,250,112.77,4.41
250,1045,168,452,2708,250,22.48,4.49
251,527,164,423,393,300,137.95,3.8
252,1821,65,60,1285,300,178.98,1.63
253,1416,243,74,338,300,50.23,1.8
254,315,25,487,1682,100,177.76,4.26
255,145,152,258,2537,250,196.13,2.4
256,430,391,455,1779,150,15.85,3.47
257,637,301,17,1882,200,23.86,2.62
258,1990,402,31,1119,200,77.27,1.51
259,1531,233,356,1796,100,81.33,5.8
260,1358,251,262,2040,250,177.5,5.18
261,662,467,299,2358,400,12.34,4.23
262,1856,459,248,1666,100,189.34,4.39
263,935,144,57,408,200,174.87,2.39
264,1796,191,144,297,250,41.74,1.96
265,374,160,32,2114,300,20.98,2.2
266,1188,403,87,2224,200,182.93,2.52
267,1084,373,136,2392,100,142.1,4.6
268,87,297,183,1402,150,89.23,4.29
269,499,420,75,2094,150,121.02,1.05
270,608,215,67,2190,100,198.19,3.33
271,565,442,241,710,150,151.07,1.93
272,301,462,280,1764,250,108.52,3.66
273,1505,32,234,2127,250,170.57,2.52
274,479,321,422,2649,100,137.58,2.37
275,721,443,328,43,300,133.58,4.63
276,358,91,60,435,250,113.47,2.18
277,130,479,164,1778,400,102.38,2.47
278,1242,143,284,386,400,74.78,4.38
279,177,84,467,283,100,27.07,5.09
280,1177,281,487,2750,250,133.57,4.56
281,745,155,44,641,300,5.24,4.25
282,598,98,418,2126,400,39.43,1.46
283,1542,17,89,2374,150,126.74,1.79
284,1296,299,194,2379,150,187.61,3.81
285,83,314,359,2093,300,178.23,1.97
286,67,60,307,122,150,113.61,2.48
287,636,264,154,504,150,142.2,4.56
288,367,116,420,846,400,79.77,2.46
289,725,328,28,1629,300,11.31,2.35
290,830,54,481,1372,100,2.23,2.37
291,687,360,296,1798,150,47.01,2.35
292,1930,125,259,1845,150,116.12,1.29
293,334,50,233,2664,100,103.15,4.98
294,891,24,293,427,300,36.08,2.26
295,1725,485,405,1524,250,9.04,2.91
296,192,363,13,65,200,172.18,4.28
297,602,93,242,96,250,118.83,4.74
298,1034,420,342,870,250,174.58,5.28
299,1246,363,10,2621,150,95.07,4.68
300,731,116,55,2703,300,57.9,3.97
301,1631,397,444,2736,200,178.53,1.38
302,1009,339,116,957,400,169.18,3.92
303,333,408,110,673,400,49.8,4.62
304,1419,138,370,2260,250,156.64,0.96
305,8,25,239,930,200,89.28,2.01
306,1100,403,170,1067,400,174.09,1.48
307,616,242,35,606,250,76.22,4.78
308,1565,369,297,462,250,47.24,3.76
309,591,500,314,121,150,134.55,4.93
310,1497,455,488,1887,300,60.2,3.11
311,168,323,417,1625,300,183.49,2.15
312,1237,10,9,2182,150,57.5,2.76
313,223,89,295,1125,250,175.4,2.19
314,1732,63,323,848,200,20.35,5.1
315,297,212,92,122,250,188.28,4.46
316,1101,227,13,1597,150,189.68,3.98
317,1109,368,419,947,400,77.6,5.13
318,1102,360,193,1891,250,109.47,3.98
319,1657,406,102,613,100,157.42,2.71
320,193,119,366,1946,200,59.41,2.2
321,487,452,360,2103,300,34.02,4.47
322,1253,293,387,1827,400,10.77,3.17
323,16,399,440,1514,300,164.89,4.21
324,864,212,444,2763,100,94.9,3.49
325,186,348,80,2926,250,164.08,3.97
326,1499,212,59,1700,200,171.53,3.27
327,11,271,41,2339,400,122.24,5.13
328,644,264,70,1267,300,89.91,4.54
329,1130,453,82,367,300,36.0,3.54
330,681,5,290,1522,150,15.99,4.64
331,45,338,458,675,200,184.62,4.72
332,723,242,83,1787,150,6.15,2.7
333,138,145,260,144,250,50.64,1.9
334,950,370,286,211,100,156.46,4.1
335,602,21,170,1655,100,93.23,2.8
336,1854,273,435,1976,100,84.06,4.24
337,795,431,359,2084,150,57.2,2.75
338,1202,466,183,182,200,57.67,2.51
339,1812,493,214,29,400,79.9,3.19
340,236,473,222,2990,100,173.21,1.95
341,1257,46,7,1300,300,94.03,5.34
342,239,363,357,2700,250,191.11,0.81
343,152,185,352,1756,400,7.25,2.43
344,164,130,465,643,400,44.9,5.4
345,1308,102,361,243,150,191.82,2.18
346,110,35,355,2028,400,57.65,2.51
347,1905,1,209,641,100,164.8,2.26
348,381,482,205,2511,150,76.22,1.31
349,799,441,135,1114,300,99.7,2.65
350,1680,167,394,522,300,47.39,5.26
351,472,98,413,1514,300,172.82,5.81
352,1359,498,243,1682,100,33.02,5.69
353,111,382,89,699,100,118.47,3.6
354,536,53,93,516,250,35.73,2.0
355,1735,32,236,771,400,59.75,5.71
356,1034,57,463,1294,400,39.0,1.64
357,235,313,3,2869,100,102.34,5.6
358,1685,493,160,800,300,92.28,2.45
359,1644,358,28,2582,300,25.92,3.99
360,1441,368,484,1311,100,57.22,5.39
361,395,33,477,2751,300,131.74,5.5
362,558,389,500,2324,400,108.37,4.13
363,1330,278,57,274,250,15.78,5.34
364,1820,398,435,2450,300,27.75,1.38
365,985,393,35,707,400,118.5,2.0
366,1243,80,272,2669,300,185.48,3.73
367,1454,259,457,192,200,85.75,3.48
368,379,242,104,2740,150,190.15,4.48
369,1389,261,348,1779,100,47.58,2.94
370,1811,145,33,776,250,191.1,4.55
371,809,414,405,2394,250,27.7,3.33
372,1935,465,308,829,150,183.06,4.66
373,1319,353,375,1649,400,101.58,2.6
374,1092,403,461,2396,400,8.22,0.89
375,724,472,453,1700,300,56.76,2.86
376,1328,110,447,1868,150,150.83,4.12
377,993,330,38,471,150,44.47,3.92
378,105,101,466,1026,250,135.87,1.8
379,842,32,56,1908,200,197.75,3.55
380,1221,345,243,1137,100,105.06,5.47
381,1634,150,206,632,300,99.56,4.8
382,301,354,197,403,400,5.74,4.97
383,814,448,282,2984,150,55.06,3.17
384,1711,32,317,1596,200,145.87,3.43
385,1453,367,414,1449,200,157.71,1.73
386,1908,92,186,205,400,198.5,3.25
387,1159,178,43,1186,150,135.28,3.87
388,1061,326,458,1696,150,179.1,5.29
389,1838,81,368,446,200,65.46,3.38
390,663,287,405,267,300,124.26,5.47
391,1092,275,209,1600,250,79.25,3.47
392,1920,30,166,401,150,153.15,5.07
393,1357,409,359,2028,250,52.8,4.93
394,1236,11,195,2618,250,29.33,4.59
395,1027,378,324,106,100,123.19,2.37
396,388,13,35,809,200,113.01,2.07
397,1431,248,488,441,100,92.33,4.14
398,1958,87,286,1563,400,8.86,3.15
399,989,395,11,893,200,55.29,4.71
400,881,236,359,334,150,147.65,5.57
401,1318,2,3,126,300,49.15,5.11
402,1327,91,340,2971,100,3.5,2.88
403,1671,482,328,982,200,12.09,4.0
404,1125,408,366,1632,100,75.84,5.38
405,1457,226,312,891,400,23.7,2.31
406,684,186,427,1343,400,86.9,3.22
407,1174,130,323,2638,300,177.1,4.82
408,134,54,296,1337,400,193.79,2.97
409,1129,56,143,729,400,185.88,1.49
410,1486,225,72,2440,100,44.13,5.24
411,1229,149,471,875,150,43.8,4.85
412,1931,465,380,959,150,59.77,2.9
413,608,13,404,885,300,141.7,4.2
414,1659,337,41,2242,400,150.82,3.56
415,459,405,16,2997,250,35.44,1.9
416,1353,238,315,1941,300,12.23,4.91
417,1002,241,152,591,300,33.51,2.31
418,126,168,184,398,400,105.58,5.1
419,102,247,21,496,250,95.57,3.6
420,1020,441,100,2852,200,74.26,2.42
421,1519,253,437,2203,300,127.75,3.01
422,449,278,339,1001,200,175.79,3.75
423,1408,267,263,1164,300,85.47,1.28
424,1806,439,138,469,100,141.77,3.98
425,30,234,342,2998,200,66.36,5.19
426,257,267,9,1094,200,183.66,4.99
427,1381,53,470,1243,150,179.87,5.43
428,1846,149,203,979,250,103.77,4.96
429,1146,268,154,2442,250,122.82,1.86
430,1221,297,428,686,250,78.53,2.36
431,256,253,427,2844,100,192.61,1.35
432,1499,177,224,2592,250,87.82,4.2
433,1695,480,447,625,150,16.51,5.06
434,1519,309,165,1040,100,18.67,3.39
435,1812,232,289,1334,250,129.99,2.3
436,187,458,364,721,200,98.39,4.85
437,1720,91,372,1910,100,160.83,3.84
438,643,113,51,688,300,182.42,4.63
439,1306,342,251,2821,250,62.42,3.09
440,422,77,375,769,100,91.35,5.53
441,16,52,143,2546,400,2.66,3.75
442,897,223,256,2333,200,91.86,4.74
443,987,147,28,892,200,118.94,3.87
444,838,86,251,919,300,58.66,3.11
445,349,22,68,789,150,115.35,2.57
446,1172,490,119,2626,200,86.94,3.75
447,1383,365,6,131,150,69.48,4.83
448,1402,264,33,1191,400,106.72,5.74
449,1270,283,141,613,200,174.2,2.13
450,1454,364,26,498,300,154.86,5.57
451,54,478,295,2351,100,15.0,1.32
452,77,65,197,986,250,105.88,5.78
453,389,222,215,2353,300,93.58,4.02
454,1487,382,62,2642,200,55.75,4.54
455,889,336,248,1729,400,156.36,3.66
456,1231,404,133,2900,150,172.92,3.77
457,1339,330,100,1545,250,94.47,3.47
458,352,445,303,1131,100,134.41,3.41
459,1148,458,209,2670,100,71.31,5.24
460,394,36,295,1559,150,145.34,1.45
461,1173,279,143,1940,200,178.32,5.26
462,157,402,485,2656,100,131.88,1.42
463,973,194,185,1222,150,185.04,2.05
464,1186,52,71,2069,400,51.97,2.51
465,1127,359,348,258,200,156.3,4.34
466,760,34,154,2887,200,44.19,4.08
467,977,458,207,647,200,38.01,3.6
468,1018,100,175,242,250,99.81,4.71
469,1571,450,54,2623,100,62.44,3.84
470,782,171,482,2997,100,93.73,5.6
471,1208,28,464,2452,150,129.78,2.06
472,1813,66,100,1310,150,65.66,3.09
473,472,11,282,2036,300,80.51,4.73
474,1951,344,330,1454,300,33.0,3.47
475,1925,63,327,444,300,194.53,2.02
476,1195,265,494,831,250,168.25,5.87
477,1021,297,289,2344,400,184.31,5.62
478,318,360,384,1425,250,87.78,3.11
479,530,108,2,2418,400,35.91,4.62
480,850,24,277,2053,300,25.83,5.08
481,1943,219,165,840,400,29.91,4.99
482,110,332,47,688,150,32.75,3.25
483,1892,348,432,700,300,158.19,5.27
484,1074,484,26,2860,100,73.5,3.86
485,544,199,379,2764,300,62.68,4.61
486,1845,287,93,577,400,174.11,1.88
487,1701,216,181,2004,400,184.5,3.71
488,1724,161,383,2171,250,86.43,4.22
489,888,104,110,1134,150,140.23,3.55
490,691,464,220,1506,150,162.75,4.71
491,880,203,80,598,150,173.35,4.23
492,316,347,456,520,150,35.3,3.11
493,1897,470,428,2217,150,141.55,2.88
494,1636,326,205,1518,200,108.86,1.19
495,1527,35,201,1415,300,182.69,4.09
496,1859,354,221,203,150,67.06,3.9
497,146,117,276,2837,250,49.55,5.52
498,92,26,246,1733,400,197.05,2.94
499,1858,24,474,558,250,125.68,3.82
500,1012,475,299,1018,400,161.08,1.54
501,1478,433,56,2900,250,90.66,3.17
502,313,471,108,2274,150,77.14,2.32
503,647,79,40,2860,250,26.15,5.03
504,1723,472,91,2356,400,99.96,2.73
505,1743,431,385,1112,250,66.87,1.61
506,26,409,137,689,200,46.32,3.18
507,1886,402,128,314,300,23.14,5.25
508,1646,192,470,1970,200,144.78,3.09
509,1457,266,400,2750,150,36.37,5.27
510,1155,500,344,710,300,195.56,2.78
511,1313,101,243,1202,150,178.64,2.1
512,887,314,335,1288,200,148.32,2.14
513,271,276,400,1589,150,49.05,3.3
514,1536,74,22,1903,250,50.67,4.94
515,640,7,246,551,200,197.02,3.98
516,725,426,134,2774,200,43.67,4.17
517,1186,100,193,2192,250,111.57,4.49
518,1395,102,267,1949,300,184.49,4.82
519,1815,172,141,2990,300,26.04,4.14
520,653,269,98,1383,200,54.85,3.23
521,1409,464,241,676,200,166.55,2.83
522,198,433,96,1410,100,38.8,1.35
523,321,300,235,515,200,90.25,4.74
524,947,236,277,403,250,3.83,4.72
525,879,2,448,2233,200,195.37,2.29
526,1915,264,281,536,400,133.23,1.97
527,1898,21,106,1632,100,84.84,1.43
528,255,150,338,1669,100,66.34,4.61
529,1905,96,396,605,400,19.53,4.07
530,331,492,234,1004,400,70.04,2.97
531,953,146,267,2598,150,151.53,3.63
532,1492,247,304,1241,200,151.56,3.47
533,1917,142,212,2236,100,30.7,1.11
534,843,484,10,1577,200,144.7,4.77
535,804,368,364,743,150,144.1,3.63
536,1314,195,86,2054,100,77.96,3.02
537,1122,355,69,2735,200,147.1,2.16
538,135,396,26,2318,400,150.97,2.73
539,3,36,388,1939,100,6.98,1.14
540,802,344,56,1640,100,196.27,3.91
541,367,27,153,980,250,136.57,2.27
542,1250,19,439,2427,150,141.36,5.66
543,294,273,145,828,100,75.05,5.52
544,820,147,104,340,200,130.98,1.9
545,972,39,454,610,200,47.64,4.99
546,462,390,190,2817,200,36.98,5.37
547,1357,419,24,1475,250,92.19,4.19
548,1193,370,464,2068,200,117.35,1.24
549,1330,113,421,1460,100,186.27,1.46
550,1850,213,402,2954,300,104.04,4.58
551,692,26,370,1261,300,12.6,3.14
552,1014,410,333,179,150,92.0,2.44
553,1424,249,110,2521,250,54.93,5.02
554,1091,417,473,580,200,156.99,5.84
