trip_id,rider_id,driver_id,pickup_zone,dropoff_zone,pickup_time_min,trip_distance_km,base_fare,surge_multiplier,final_fare
1,1791,9,Z12,Z9,1439,8.06,128.35,1.46,187.39
2,339,607,Z4,Z4,769,13.71,232.56,1.09,253.49
3,2158,542,Z10,Z7,1285,8.7,102.27,1.4,143.18
4,447,588,Z3,Z17,834,13.4,175.52,1.28,224.67
5,250,685,Z9,Z15,354,8.07,134.04,1.04,139.4
6,2914,118,Z10,Z4,1237,13.41,187.68,1.39,260.88
7,2956,505,Z13,Z11,756,10.7,165.95,1.39,230.67
8,2782,751,Z5,Z3,1214,9.41,146.13,1.39,203.12
9,799,372,Z4,Z10,252,15.51,194.7,1.25,243.38
10,1197,370,Z9,Z5,350,17.8,272.87,1.31,357.46
11,507,273,Z19,Z12,495,10.9,123.32,1.1,135.65
12,672,217,Z18,Z4,953,12.7,168.79,1.45,244.75
13,1218,664,Z3,Z12,695,6.17,108.53,1.11,120.47
14,1250,514,Z10,Z13,219,11.59,126.61,1.38,174.72
15,32,607,Z15,Z3,1303,2.71,65.0,1.32,85.8
16,1129,321,Z7,Z17,1273,22.36,314.77,1.18,371.43
17,809,125,Z10,Z6,576,13.81,174.37,1.27,221.45
18,1224,733,Z12,Z16,743,11.83,134.87,1.12,151.05
19,1034,491,Z17,Z8,1114,4.31,65.18,1.44,93.86
20,286,322,Z19,Z18,242,18.89,209.17,1.37,286.56
21,1448,571,Z4,Z2,1335,7.81,140.88,1.45,204.28
22,541,539,Z11,Z13,1158,22.74,257.98,1.53,394.71
23,1008,624,Z4,Z1,86,15.92,175.09,1.32,231.12
24,805,76,Z5,Z18,178,18.61,192.13,1.49,286.27
25,1683,483,Z16,Z20,168,13.09,221.19,1.21,267.64
26,2542,363,Z12,Z7,1368,23.53,375.43,1.14,427.99
27,1771,569,Z2,Z10,1224,17.86,197.4,1.02,201.35
28,376,170,Z5,Z6,270,15.62,187.65,1.17,219.55
29,2019,583,Z13,Z8,564,9.99,150.95,1.65,249.07
30,1411,770,Z1,Z20,474,23.3,237.44,1.49,353.79
31,2857,226,Z10,Z4,839,11.32,199.8,1.34,267.73
32,1174,778,Z13,Z8,288,21.64,348.11,1.42,494.32
33,643,301,Z11,Z12,884,5.87,114.06,1.42,161.97
34,1851,658,Z7,Z6,568,2.04,54.85,1.71,93.79
35,1753,668,Z3,Z18,881,5.34,89.69,1.33,119.29
36,1604,312,Z9,Z18,245,2.77,64.03,1.4,89.64
37,904,747,Z1,Z19,69,21.89,269.63,1.37,369.39
38,350,392,Z16,Z14,883,2.96,71.34,1.36,97.02
39,2229,334,Z10,Z2,783,16.01,222.03,1.06,235.35
40,1104,486,Z4,Z18,338,1.62,52.2,1.43,74.65
41,1548,466,Z4,Z16,462,21.2,288.47,1.34,386.55
42,25,392,Z2,Z15,1057,22.09,343.51,1.1,377.86
43,1777,301,Z18,Z20,332,7.53,142.58,1.26,179.65
44,2734,224,Z2,Z17,1086,21.62,255.25,1.33,339.48
45,45,604,Z10,Z20,610,19.95,225.47,1.3,293.11
46,382,761,Z13,Z19,775,22.58,296.61,1.24,367.8
47,422,284,Z11,Z7,204,14.44,183.83,1.09,200.37
48,1148,412,Z10,Z16,758,3.21,76.32,1.1,83.95
49,2380,346,Z12,Z14,932,21.83,290.89,1.09,317.07
50,887,66,Z12,Z2,909,21.91,309.79,1.36,421.31
51,2030,556,Z15,Z14,935,18.2,291.74,1.16,338.42
52,2776,531,Z7,Z19,703,22.03,242.77,1.5,364.16
53,1058,500,Z4,Z11,722,1.58,45.58,1.12,51.05
54,2605,57,Z20,Z19,521,21.68,227.21,1.13,256.75
55,1631,134,Z14,Z12,629,14.89,193.46,1.37,265.04
56,1168,439,Z13,Z19,5,12.43,186.29,1.16,216.1
57,1967,158,Z14,Z6,726,14.3,172.73,1.31,226.28
58,1291,489,Z13,Z11,35,19.77,253.21,1.29,326.64
59,2966,493,Z3,Z7,1072,15.17,195.72,1.26,246.61
60,890,726,Z17,Z7,602,10.31,151.76,1.12,169.97
61,1318,305,Z6,Z16,952,4.14,89.01,1.1,97.91
62,2599,625,Z5,Z2,258,18.47,290.98,1.46,424.83
63,2256,707,Z6,Z20,273,2.88,72.65,1.28,92.99
64,2746,748,Z3,Z10,1020,16.07,164.26,1.25,205.32
65,1740,14,Z7,Z11,520,15.71,204.56,1.76,360.03
66,1302,721,Z17,Z19,434,5.55,75.78,1.43,108.37
67,1770,171,Z17,Z9,284,13.99,149.38,1.22,182.24
68,1168,346,Z13,Z3,841,9.32,138.92,1.09,151.42
69,2214,102,Z6,Z4,457,23.06,287.1,1.08,310.07
70,1385,233,Z16,Z18,1139,24.82,314.2,1.38,433.6
71,1562,184,Z20,Z13,37,21.28,295.93,1.44,426.14
72,388,720,Z16,Z5,938,11.15,169.85,1.02,173.25
73,1237,70,Z8,Z7,1178,11.4,184.41,1.72,317.19
74,2168,62,Z10,Z3,35,17.84,177.59,1.11,197.12
75,2612,212,Z12,Z19,1434,17.22,211.57,1.07,226.38
76,2605,73,Z11,Z5,1375,16.35,187.63,1.4,262.68
77,2752,494,Z1,Z9,600,15.99,158.49,1.01,160.07
78,118,661,Z11,Z5,747,12.16,206.4,1.38,284.83
79,2957,659,Z3,Z17,1218,13.31,194.62,1.07,208.24
80,984,549,Z11,Z3,1313,5.37,96.08,1.09,104.73
81,2529,786,Z3,Z6,862,12.38,209.72,1.21,253.76
82,501,279,Z12,Z6,1203,5.68,95.79,1.18,113.03
83,601,624,Z20,Z8,92,11.63,128.17,1.27,162.78
84,2981,438,Z1,Z15,215,15.86,219.05,1.23,269.43
85,1620,228,Z16,Z9,573,9.12,154.42,1.29,199.2
86,2329,711,Z11,Z5,688,16.03,237.29,1.11,263.39
87,1454,47,Z14,Z6,1385,11.05,138.78,1.03,142.94
88,2146,772,Z13,Z6,1413,15.52,252.61,1.22,308.18
89,2439,106,Z10,Z8,517,5.64,112.4,1.76,197.82
90,431,163,Z4,Z13,1306,1.42,45.73,1.18,53.96
91,2001,763,Z8,Z6,1103,24.1,265.57,1.9,504.58
92,422,311,Z14,Z17,337,23.11,257.82,1.14,293.91
93,779,242,Z8,Z19,50,19.73,292.57,1.03,301.35
