record_id,intersection_id,approach_road_id,timestamp_min,queue_length_vehicles,avg_wait_time_sec,cycle_time_sec,green_time_sec
1,51,2,620,13,70,150,50
2,292,3,1009,24,39,150,61
3,260,2,1296,21,172,120,51
4,144,1,1217,11,16,120,41
5,139,3,399,23,41,90,45
6,89,2,100,13,103,120,43
7,77,1,1050,46,56,120,76
8,187,4,1203,17,178,90,39
9,267,4,625,18,86,150,55
10,201,2,551,40,44,60,50
11,197,4,643,2,117,90,24
12,158,1,424,19,41,150,56
13,188,2,1155,13,112,90,35
14,8,4,1077,52,88,120,82
15,107,3,402,21,126,90,43
16,234,4,192,2,104,60,17
17,269,1,772,27,127,60,42
18,5,3,505,19,12,90,41
19,140,2,621,13,147,90,35
20,254,3,1258,23,106,60,38
21,289,2,1154,16,69,60,31
22,35,2,1316,8,176,150,45
23,127,4,579,55,60,150,92
24,179,3,504,26,103,120,56
25,174,3,507,24,113,90,46
26,63,1,740,24,120,150,61
27,217,3,914,6,147,90,28
28,39,2,584,27,76,150,64
29,261,1,756,0,120,90,22
30,202,2,299,13,129,60,28
31,83,1,1030,52,48,120,82
32,110,2,837,1,150,90,23
33,46,4,1414,23,62,150,60
34,22,2,1341,7,178,60,22
35,139,1,251,22,125,60,37
36,109,1,445,12,63,90,34
37,41,1,1213,7,162,90,29
38,210,3,547,12,48,90,34
39,282,4,1396,0,22,90,22
40,126,1,554,53,126,120,83
41,263,4,1343,4,124,60,19
42,277,1,901,22,82,90,44
43,78,3,622,8,163,120,38
44,195,3,1287,28,164,60,43
45,252,2,62,18,169,120,48
46,22,3,1327,4,137,90,26
47,99,3,1363,16,138,90,38
48,48,3,672,20,67,60,35
49,224,1,281,27,94,120,57
50,59,2,331,5,108,150,42
51,278,3,644,28,143,60,43
52,192,4,214,28,124,120,58
53,179,1,1131,21,45,90,43
54,284,4,943,23,89,120,53
55,208,3,695,7,35,150,44
56,28,3,364,29,43,60,44
57,230,4,322,1,140,120,31
58,230,3,828,13,121,120,43
59,41,3,801,7,116,150,44
60,123,3,688,0,129,60,15
61,121,2,477,59,20,90,80
62,144,4,1181,42,71,60,50
63,131,3,1418,6,125,150,43
64,111,4,1029,36,116,150,73
65,237,1,1338,29,42,150,66
66,76,2,907,13,54,60,28
67,288,4,531,57,42,150,94
68,99,2,394,0,49,60,15
69,214,1,1084,48,117,150,85
70,123,3,1204,30,12,60,45
71,82,1,125,30,171,90,52
72,158,1,125,1,71,90,23
73,68,4,253,4,154,120,34
74,260,2,639,0,79,60,15
75,125,3,1396,9,106,60,24
76,35,4,1126,35,13,60,50
77,46,3,266,10,62,90,32
78,132,1,1009,11,83,150,48
79,271,3,121,26,94,120,56
80,242,1,926,10,36,60,25
81,241,2,847,21,87,90,43
82,63,1,886,24,84,60,39
83,128,1,734,21,139,60,36
84,104,2,1292,29,77,90,51
85,190,1,63,14,76,150,51
86,293,4,824,8,176,120,38
87,199,3,691,20,90,120,50
88,152,3,1327,21,72,120,51
89,114,4,636,16,56,150,53
90,237,2,1302,12,168,60,27
91,110,2,1038,42,139,60,50
92,55,1,1024,30,125,120,60
93,108,1,174,26,98,120,56
94,207,2,1362,1,158,90,23
95,97,4,1073,32,75,120,62
96,154,3,41,13,174,90,35
97,50,4,984,1,89,150,38
98,52,4,995,5,106,120,35
99,36,1,1069,51,149,150,88
100,97,3,544,15,159,120,45
101,169,1,407,24,50,120,54
102,170,2,819,23,119,60,38
103,263,1,1244,13,163,60,28
104,109,2,1250,16,94,150,53
105,229,4,255,6,178,120,36
106,138,1,70,23,35,150,60
107,19,2,519,54,39,120,84
108,236,4,882,27,169,120,57
109,280,2,1362,9,125,150,46
110,20,3,488,22,123,90,44
111,8,2,1286,5,32,60,20
112,142,2,1114,21,14,90,43
113,135,4,738,15,132,60,30
114,180,4,123,1,124,120,31
115,163,4,479,24,49,90,46
116,198,2,368,23,55,120,53
117,146,3,1280,5,138,60,20
118,260,3,20,27,136,90,49
119,188,2,1096,55,24,150,92
120,226,1,33,7,35,150,44
121,265,3,1218,27,120,90,49
122,125,3,1338,25,85,120,55
123,109,3,544,11,111,150,48
124,222,2,445,39,155,90,61
125,65,1,137,30,109,150,67
126,291,2,1243,18,70,60,33
127,101,2,85,17,50,150,54
128,79,3,437,21,145,60,36
129,268,2,368,9,120,60,24
130,283,3,1192,51,66,60,50
131,26,3,1204,21,52,120,51
132,205,4,397,29,44,120,59
133,128,4,424,49,172,120,79
134,76,4,1290,4,80,60,19
135,152,1,384,21,37,90,43
136,45,3,318,14,68,90,36
137,212,4,1045,39,171,90,61
138,275,3,1420,5,164,60,20
139,165,2,908,23,163,120,53
140,48,4,785,16,13,120,46
141,265,3,864,18,158,90,40
142,203,4,296,18,84,150,55
143,130,1,397,21,42,120,51
144,81,1,307,25,104,60,40
145,251,4,593,20,64,90,42
146,263,1,337,15,30,60,30
147,24,3,84,14,120,90,36
148,80,3,666,4,161,150,41
149,296,3,419,30,62,90,52
150,224,4,934,0,176,120,30
151,2,1,651,17,106,90,39
152,8,4,1004,18,32,120,48
153,113,4,325,1,12,120,31
154,68,4,664,16,102,150,53
155,40,2,897,13,14,90,35
156,63,3,825,10,95,120,40
157,16,3,1110,10,125,60,25
158,220,1,950,11,40,150,48
159,195,2,1091,38,161,90,60
160,79,3,571,34,67,60,49
161,32,3,539,46,19,90,68
162,46,3,661,27,22,90,49
163,189,3,244,22,71,150,59
164,59,4,569,15,161,120,45
165,74,4,706,27,123,120,57
166,8,4,264,12,10,90,34
167,123,1,1082,31,143,60,46
168,294,4,691,25,180,120,55
169,293,3,621,6,108,150,43
170,175,2,248,11,15,90,33
171,15,1,50,18,150,60,33
172,232,4,47,22,170,150,59
173,196,2,434,44,65,60,50
174,147,2,107,24,131,90,46
175,196,1,365,8,49,60,23
176,3,2,492,46,114,90,68
177,135,4,140,26,38,90,48
178,104,2,899,20,121,150,57
179,161,2,479,27,158,90,49
180,230,3,1291,17,50,60,32
181,34,3,240,29,85,150,66
182,216,1,668,22,119,150,59
183,204,2,812,13,25,60,28
184,170,2,76,22,26,120,52
185,203,1,540,54,177,150,91
186,149,1,418,2,35,150,39
187,80,4,22,22,69,60,37
188,267,3,889,15,112,90,37
189,15,3,1350,6,110,60,21
190,282,1,31,21,35,120,51
191,238,1,991,16,156,60,31
192,70,2,1368,4,178,60,19
193,82,1,1142,14,161,90,36
194,167,2,405,29,118,120,59
195,186,2,1109,56,58,90,78
196,138,3,80,18,52,120,48
197,43,2,1067,35,64,150,72
198,96,4,759,2,72,120,32
199,62,1,1004,3,118,150,40
200,7,3,215,26,166,150,63
201,140,2,1180,37,166,150,74
202,96,2,528,48,149,150,85
203,162,4,759,3,19,60,18
204,51,3,146,5,120,120,35
205,92,3,45,22,140,120,52
206,52,4,154,29,84,120,59
207,230,2,786,13,161,90,35
208,42,3,815,0,104,120,30
