order_id,picker_id,zone_from,zone_to,start_time_min,num_items,total_distance_m,estimated_time_min,priority
1,283,Z21,Z19,916,34,1935,29.4,MEDIUM
2,215,Z20,Z20,223,31,2108,51.2,LOW
3,152,Z19,Z8,1401,25,1530,22.2,LOW
4,197,Z11,Z28,115,5,698,8.9,LOW
5,14,Z20,Z14,1024,35,2001,42.4,LOW
6,199,Z6,Z24,101,1,1454,20.0,MEDIUM
7,210,Z7,Z6,1435,12,1820,29.7,MEDIUM
8,287,Z10,Z18,1077,3,2170,50.3,LOW
9,21,Z8,Z10,1123,33,213,2.9,LOW
10,262,Z27,Z9,639,36,370,5.5,MEDIUM
11,90,Z20,Z19,447,12,139,3.0,MEDIUM
12,275,Z9,Z14,1406,28,2266,48.9,LOW
13,168,Z17,Z26,1172,33,936,19.3,LOW
14,26,Z15,Z9,743,29,1892,33.7,LOW
15,174,Z26,Z2,839,18,2136,34.7,MEDIUM
16,58,Z19,Z25,10,18,2409,48.9,LOW
17,40,Z22,Z10,503,7,1261,17.8,MEDIUM
18,189,Z21,Z26,878,9,2267,34.9,MEDIUM
19,77,Z8,Z27,1372,29,1724,27.2,MEDIUM
20,130,Z25,Z14,634,27,528,11.4,MEDIUM
21,74,Z1,Z16,974,13,1068,26.1,LOW
22,212,Z27,Z16,628,35,1622,30.0,MEDIUM
23,234,Z21,Z13,187,15,331,4.8,LOW
24,150,Z20,Z23,213,7,2185,30.8,MEDIUM
25,239,Z3,Z29,439,13,2178,30.5,LOW
26,183,Z2,Z20,1101,23,536,12.7,LOW
27,207,Z29,Z5,770,37,1052,15.8,HIGH
28,182,Z23,Z15,306,4,472,7.6,MEDIUM
29,189,Z14,Z26,1405,2,573,7.6,LOW
30,93,Z1,Z4,1382,8,770,11.3,HIGH
31,233,Z11,Z17,683,23,2138,41.6,LOW
32,263,Z10,Z4,603,14,417,5.4,MEDIUM
33,197,Z10,Z8,251,29,826,13.4,LOW
34,65,Z5,Z14,501,27,2195,27.7,LOW
35,39,Z7,Z5,943,11,1075,13.5,MEDIUM
36,6,Z6,Z1,1156,24,1252,31.2,MEDIUM
37,79,Z5,Z17,746,26,636,13.1,LOW
38,216,Z10,Z12,773,23,1755,22.5,MEDIUM
39,248,Z27,Z26,265,24,929,22.3,LOW
40,168,Z17,Z17,1374,28,1012,22.0,MEDIUM
41,61,Z8,Z7,1219,20,2351,34.9,LOW
42,184,Z2,Z28,346,32,1617,23.0,HIGH
43,9,Z29,Z11,516,10,375,5.5,LOW
44,70,Z28,Z3,695,6,461,10.5,MEDIUM
45,186,Z13,Z10,624,36,551,10.7,LOW
46,293,Z15,Z22,139,9,686,12.9,HIGH
47,270,Z15,Z17,464,2,1832,45.8,LOW
48,205,Z29,Z25,1330,38,1110,15.5,MEDIUM
49,185,Z26,Z10,239,31,172,2.3,HIGH
50,30,Z15,Z24,55,22,957,12.1,LOW
51,175,Z2,Z17,851,13,805,17.0,HIGH
52,176,Z18,Z16,340,25,562,7.1,LOW
53,289,Z16,Z14,387,36,2062,27.2,MEDIUM
54,289,Z16,Z6,943,35,1597,25.4,MEDIUM
55,31,Z20,Z6,553,36,2389,51.5,MEDIUM
56,227,Z9,Z17,666,34,1417,18.8,LOW
57,297,Z7,Z3,1385,18,511,7.2,LOW
58,248,Z28,Z3,346,29,1712,37.0,HIGH
59,247,Z10,Z19,1210,13,1809,36.4,MEDIUM
60,286,Z18,Z27,758,17,1878,46.8,LOW
61,2,Z26,Z6,1012,23,307,6.3,HIGH
62,85,Z6,Z8,1109,32,1386,20.1,HIGH
63,286,Z8,Z2,731,37,269,4.4,LOW
64,114,Z6,Z22,744,4,1483,24.9,MEDIUM
65,88,Z1,Z28,1193,14,447,10.2,LOW
66,180,Z23,Z7,734,14,200,3.7,HIGH
67,141,Z27,Z7,799,37,2067,51.3,MEDIUM
68,103,Z26,Z28,1170,13,2081,27.9,LOW
69,90,Z27,Z17,1399,33,1889,25.4,LOW
70,39,Z20,Z23,1157,35,1782,24.6,MEDIUM
71,56,Z1,Z2,810,25,1656,36.4,LOW
72,242,Z15,Z18,756,13,965,20.7,LOW
73,271,Z5,Z16,230,33,1100,16.0,LOW
74,52,Z12,Z18,529,10,2040,37.2,MEDIUM
75,27,Z16,Z11,667,23,2488,56.7,MEDIUM
76,273,Z9,Z28,1247,25,893,13.3,LOW
77,219,Z14,Z10,879,20,2176,31.5,MEDIUM
78,149,Z22,Z7,173,15,1077,21.5,LOW
79,208,Z26,Z18,656,26,1715,24.8,MEDIUM
80,109,Z7,Z5,296,30,237,3.3,MEDIUM
81,168,Z1,Z17,29,33,761,14.1,HIGH
82,141,Z13,Z9,1192,18,983,17.2,LOW
83,43,Z27,Z28,1052,12,1103,15.7,MEDIUM
84,194,Z17,Z8,835,31,713,12.9,HIGH
85,47,Z18,Z13,489,6,639,9.2,MEDIUM
