record_id,pole_id,zone,timestamp_min,ambient_lux,traffic_density,dimming_level_pct,power_kw
1,1900,Z16,1405,66.1,57,64,0.128
2,515,Z9,1317,62.4,61,65,0.13
3,395,Z5,1309,111.9,103,75,0.15
4,594,Z14,586,15583.2,81,5,0.01
5,859,Z8,1358,58.7,75,68,0.136
6,1442,Z7,1374,104.4,143,85,0.17
7,842,Z7,1032,12499.6,61,12,0.024
8,873,Z12,292,130.4,18,54,0.108
9,536,Z10,104,45.7,194,98,0.196
10,576,Z14,67,1.3,129,82,0.164
11,1015,Z16,410,6796.2,86,6,0.012
12,925,Z10,262,168.2,32,58,0.116
13,1261,Z12,71,86.5,87,71,0.142
14,425,Z10,1426,101.1,74,68,0.136
15,1103,Z7,40,150.1,151,87,0.174
16,1449,Z17,306,182.1,142,85,0.17
17,1718,Z7,101,154.9,192,98,0.196
18,555,Z4,880,17498.4,183,13,0.026
19,1036,Z18,735,18958.9,154,8,0.016
20,1994,Z19,165,178.8,156,89,0.178
21,1227,Z19,1311,62.1,65,66,0.132
22,64,Z10,751,17879.5,144,0,0.0
23,1639,Z18,1111,138.0,120,80,0.16
24,1338,Z20,64,36.2,7,51,0.102
25,602,Z2,1035,15980.0,6,5,0.01
26,701,Z7,724,18245.4,172,16,0.032
27,158,Z17,1301,135.4,139,84,0.168
28,1946,Z12,270,51.2,130,82,0.164
29,355,Z16,1270,21.6,120,80,0.16
30,386,Z14,1056,7339.4,172,18,0.036
31,1740,Z15,444,15865.3,97,19,0.038
32,325,Z16,280,38.9,144,86,0.172
33,579,Z4,140,109.4,127,81,0.162
34,644,Z15,54,172.3,24,56,0.112
35,1600,Z6,1152,46.2,128,82,0.164
36,1245,Z2,1386,61.2,82,70,0.14
37,1385,Z9,667,10541.1,99,5,0.01
38,1850,Z14,704,17922.8,190,5,0.01
39,204,Z16,76,129.3,100,75,0.15
40,1255,Z14,622,16469.7,136,12,0.024
41,735,Z11,1122,109.4,126,81,0.162
42,592,Z19,1421,125.9,165,91,0.182
43,1889,Z3,894,13618.3,34,4,0.008
44,190,Z15,1000,16964.7,147,18,0.036
45,880,Z7,563,13015.5,83,16,0.032
46,1741,Z13,945,6511.8,57,19,0.038
47,478,Z14,301,125.2,105,76,0.152
48,1994,Z7,920,15670.7,184,14,0.028
49,326,Z1,1135,191.1,141,85,0.17
50,729,Z2,824,19502.7,113,19,0.038
51,870,Z11,892,15737.7,170,16,0.032
52,1153,Z17,148,164.3,83,70,0.14
53,720,Z17,803,7341.4,84,3,0.006
54,463,Z2,373,6892.5,26,4,0.008
55,995,Z2,496,13414.6,191,0,0.0
56,237,Z12,1374,114.1,91,72,0.144
57,890,Z20,575,14907.9,13,5,0.01
58,573,Z4,199,126.5,74,68,0.136
59,1911,Z6,594,18061.5,4,11,0.022
60,425,Z6,593,19027.1,118,17,0.034
61,1181,Z10,1124,0.2,157,89,0.178
62,1253,Z1,6,7.2,120,80,0.16
63,7,Z18,1096,8.3,76,69,0.138
64,805,Z7,1120,24.1,76,69,0.138
65,1559,Z10,1405,88.2,20,55,0.11
66,1990,Z4,1362,157.0,38,59,0.118
67,533,Z3,467,8433.8,54,4,0.008
68,943,Z11,430,7056.9,197,12,0.024
69,144,Z15,81,28.8,180,95,0.19
70,1449,Z18,582,11331.3,0,19,0.038
71,1586,Z14,248,137.3,8,52,0.104
72,1956,Z14,906,18789.3,100,1,0.002
73,1367,Z20,1169,14.4,21,55,0.11
74,1234,Z16,175,50.6,39,59,0.118
75,628,Z4,816,14880.3,136,16,0.032
76,280,Z6,445,18123.0,138,17,0.034
77,1514,Z8,515,16408.6,84,11,0.022
78,1321,Z18,755,18822.8,152,4,0.008
79,1062,Z2,179,6.9,67,66,0.132
80,514,Z15,977,15092.5,106,17,0.034
81,167,Z10,560,8845.7,127,6,0.012
82,815,Z9,332,6.1,168,92,0.184
83,929,Z6,803,7703.5,94,10,0.02
84,1510,Z11,347,40.0,34,58,0.116
85,34,Z10,1004,6781.5,86,10,0.02
86,1469,Z18,15,118.7,75,68,0.136
87,669,Z17,488,10312.2,22,19,0.038
88,1028,Z19,564,10654.9,81,18,0.036
89,1853,Z5,1034,14118.6,81,20,0.04
90,1416,Z19,46,189.5,137,84,0.168
91,1708,Z17,209,129.5,92,73,0.146
92,452,Z4,982,12277.8,111,4,0.008
93,413,Z12,804,12602.3,171,19,0.038
94,678,Z1,716,9441.3,18,8,0.016
95,285,Z18,885,18832.1,107,5,0.01
96,197,Z9,1221,192.6,154,88,0.176
97,352,Z9,1170,53.4,1,50,0.1
98,724,Z20,463,15396.7,15,0,0.0
99,1223,Z4,557,6751.6,112,5,0.01
100,1604,Z10,32,18.2,133,83,0.166
101,598,Z3,1404,181.3,90,72,0.144
102,1260,Z11,223,191.4,30,57,0.114
103,948,Z1,8,30.9,114,78,0.156
104,508,Z2,464,18376.4,100,15,0.03
105,512,Z6,493,16837.7,80,9,0.018
106,512,Z7,1072,12390.3,42,8,0.016
107,291,Z7,1001,18893.1,125,13,0.026
108,1746,Z20,184,107.8,112,78,0.156
109,554,Z12,1024,10749.0,97,5,0.01
110,252,Z7,401,19952.6,17,17,0.034
111,1379,Z17,1078,19791.0,161,20,0.04
112,191,Z18,1416,173.3,194,98,0.196
113,1498,Z15,210,133.9,64,66,0.132
114,1609,Z15,1027,11292.0,95,18,0.036
115,1385,Z9,345,109.1,27,56,0.112
116,1630,Z4,302,149.4,175,93,0.186
117,320,Z1,545,12779.4,27,15,0.03
118,1300,Z10,383,12465.4,113,6,0.012
119,1625,Z11,1342,136.3,99,74,0.148
120,682,Z18,867,7793.9,129,7,0.014
121,374,Z7,1211,119.1,4,51,0.102
122,1986,Z20,1206,169.5,18,54,0.108
123,499,Z3,216,88.6,121,80,0.16
124,372,Z3,834,8638.9,147,11,0.022
125,1825,Z9,684,15880.1,171,3,0.006
126,160,Z1,962,13224.7,18,12,0.024
127,956,Z9,516,7650.4,163,4,0.008
128,1196,Z2,586,16969.5,171,0,0.0
129,490,Z16,1142,82.9,2,50,0.1
130,1065,Z2,747,17871.9,154,11,0.022
131,75,Z3,1180,113.8,133,83,0.166
132,1315,Z17,12,134.6,194,98,0.196
133,1331,Z7,385,9840.9,143,17,0.034
134,1897,Z20,844,13534.4,28,2,0.004
135,1748,Z20,576,16759.2,14,2,0.004
136,26,Z15,676,12077.7,199,6,0.012
137,66,Z6,789,18870.7,182,19,0.038
138,1671,Z5,839,19591.9,14,1,0.002
139,1831,Z14,197,59.0,131,82,0.164
140,856,Z16,705,17056.7,109,12,0.024
141,1370,Z2,790,19594.3,151,13,0.026
142,1973,Z6,1038,11263.7,18,14,0.028
143,990,Z18,208,13.4,184,96,0.192
144,1426,Z17,129,47.6,114,78,0.156
145,125,Z18,1073,13615.1,41,10,0.02
146,275,Z18,1001,14697.3,196,0,0.0
147,922,Z4,35,88.2,45,61,0.122
148,1973,Z9,314,172.6,84,71,0.142
149,1901,Z5,1048,15023.5,78,19,0.038
150,762,Z4,940,18092.6,149,16,0.032
151,1358,Z7,1173,33.0,143,85,0.17
152,972,Z5,1390,167.8,9,52,0.104
153,1158,Z18,16,105.5,47,61,0.122
154,1138,Z5,162,22.9,190,97,0.194
