complaint_id,citizen_id,raw_text,detected_type,ward_id,lat,lon,severity,waiting_minutes,assigned_team_id,heap_priority_score
CMP000001,CZ06374,Smell from waste,garbage,W13,12.948695,77.421969,3,1983,TEAM07,0.544
CMP000002,CZ06027,Overflowing dustbin,garbage,W12,12.923872,77.523648,1,684,TEAM08,0.183
CMP000003,CZ04122,Drainage overflowing,drainage,W12,12.967368,77.51396,1,2823,TEAM03,0.381
CMP000004,CZ06627,Deep pothole near junction,pothole,W02,12.91687,77.477632,5,4110,TEAM07,0.981
CMP000005,CZ07091,Flickering street lamp,streetlight,W01,12.921922,77.551402,5,2986,TEAM06,0.876
CMP000006,CZ02908,Broken road surface,pothole,W07,12.862983,77.558019,3,959,TEAM05,0.449
CMP000007,CZ05064,Water supply leak,water_leak,W16,12.869663,77.479504,5,3513,TEAM06,0.925
CMP000008,CZ06337,Big pothole on road,pothole,W15,12.904808,77.494335,3,4159,TEAM03,0.745
CMP000009,CZ01740,Smell from waste,garbage,W15,12.911024,77.483717,1,1674,TEAM01,0.275
CMP000010,CZ06432,Blocked drain,drainage,W11,12.909033,77.528141,1,1052,,0.217
CMP000011,CZ00540,Water leakage on road,water_leak,W14,12.903543,77.469565,5,3974,TEAM05,0.968
CMP000012,CZ04659,Pole light fused,streetlight,W15,12.851443,77.444665,2,1911,TEAM10,0.417
CMP000013,CZ04077,Drainage overflowing,drainage,W02,12.872876,77.528409,4,1559,TEAM04,0.624
CMP000014,CZ06270,Open manhole,drainage,W16,12.838308,77.571369,4,705,,0.545
CMP000015,CZ03355,Drainage overflowing,drainage,W20,12.924416,77.523509,1,3282,TEAM08,0.424
CMP000016,CZ04204,Dark road no lights,streetlight,W05,12.952577,77.518609,2,1654,TEAM09,0.393
CMP000017,CZ02264,Damaged road patch,pothole,W09,12.967712,77.450969,2,3608,,0.574
CMP000018,CZ06830,Dark road no lights,streetlight,W14,12.846242,77.553262,2,361,TEAM07,0.273
CMP000019,CZ00027,Street garbage pile,garbage,W03,12.90051,77.563987,1,3875,TEAM05,0.479
CMP000020,CZ07434,Damaged road patch,pothole,W05,12.918149,77.562216,2,1049,TEAM01,0.337
CMP000021,CZ03120,Streetlight not working,streetlight,W16,12.904646,77.471717,4,578,TEAM02,0.534
CMP000022,CZ06125,Drainage overflowing,drainage,W06,12.827151,77.477256,5,2606,TEAM10,0.841
CMP000023,CZ06170,Smell from waste,garbage,W15,12.964968,77.557419,5,3671,TEAM08,0.94
CMP000024,CZ05843,Damaged road patch,pothole,W10,12.84722,77.579506,3,266,TEAM03,0.385
CMP000025,CZ05425,Big pothole on road,pothole,W11,12.94328,77.488082,5,1115,,0.703
CMP000026,CZ06530,Damaged road patch,pothole,W08,12.946695,77.485253,2,2077,,0.432
CMP000027,CZ03206,Deep pothole near junction,pothole,W11,12.937843,77.495487,4,629,TEAM05,0.538
CMP000028,CZ00947,Broken road surface,pothole,W10,12.883907,77.534482,4,939,TEAM09,0.567
CMP000029,CZ04422,Water supply leak,water_leak,W19,12.831177,77.574178,1,1786,TEAM04,0.285
CMP000030,CZ03653,Streetlight not working,streetlight,W11,12.833708,77.553885,3,1779,TEAM09,0.525
CMP000031,CZ00186,Sewage water overflow,water_leak,W20,12.978167,77.480372,5,2767,TEAM09,0.856
CMP000032,CZ07667,Pole light fused,streetlight,W02,12.899589,77.487433,2,1944,TEAM05,0.42
CMP000033,CZ03228,Sewage water overflow,water_leak,W17,12.829285,77.505039,1,1509,TEAM07,0.26
CMP000034,CZ06054,Garbage not collected,garbage,W19,12.904365,77.527258,2,1959,TEAM04,0.421
CMP000035,CZ01097,Pole light fused,streetlight,W02,12.843568,77.431896,4,1167,TEAM10,0.588
CMP000036,CZ00774,Sewage water overflow,water_leak,W19,12.843521,77.490532,2,3788,TEAM02,0.591
CMP000037,CZ03707,Blocked drain,drainage,W17,12.906206,77.463038,4,2298,TEAM01,0.693
CMP000038,CZ06838,Dark road no lights,streetlight,W17,12.896657,77.436088,5,596,TEAM04,0.655
CMP000039,CZ03555,Deep pothole near junction,pothole,W15,12.88352,77.454972,2,3598,TEAM05,0.573
CMP000040,CZ07279,Damaged road patch,pothole,W09,12.960787,77.457605,2,1700,TEAM07,0.397
CMP000041,CZ00097,Sewage water overflow,water_leak,W11,12.89239,77.48253,5,3811,,0.953
CMP000042,CZ04647,Smell from waste,garbage,W19,12.934172,77.558818,5,52,TEAM02,0.605
CMP000043,CZ04527,Overflowing dustbin,garbage,W05,12.89841,77.566444,1,2651,TEAM02,0.365
CMP000044,CZ00406,Drainage overflowing,drainage,W18,12.963482,77.531068,3,2922,TEAM10,0.631
