scan_id,ticket_id,customer_id,event_id,gate_id,seat_block,scan_time_min,is_duplicate,is_blacklisted,entry_allowed
1,T015648,CUST00026,EVT1002,G6,B3E,149,0,0,1
2,T008103,CUST02351,EVT1001,G10,B15D,6,0,0,1
3,T001554,CUST13839,EVT1001,G2,B9B,78,0,0,1
4,T017477,CUST09857,EVT1001,G2,B8C,95,0,0,1
5,T001697,CUST06624,EVT1002,G3,B12E,75,0,0,1
6,T019617,CUST04145,EVT1001,G10,B6E,137,0,0,1
7,T017298,CUST01893,EVT1002,G4,B16D,111,0,0,1
8,T016633,CUST07798,EVT1001,G2,B16D,124,0,0,1
9,T006918,CUST03292,EVT1001,G8,B5D,71,0,0,1
10,T011950,CUST05171,EVT1002,G10,B7D,141,0,0,1
11,T011479,CUST04965,EVT1001,G5,B13E,84,0,1,0
12,T002814,CUST10491,EVT1002,G7,B8E,104,0,0,1
13,T002024,CUST00565,EVT1001,G8,B1E,27,0,0,1
14,T003316,CUST06653,EVT1001,G10,B14A,44,0,0,1
15,T001362,CUST04548,EVT1001,G9,B10D,123,0,0,1
16,T016788,CUST04775,EVT1002,G9,B12C,109,0,0,1
17,T015570,CUST01052,EVT1002,G8,B7D,59,0,0,1
18,T000050,CUST07885,EVT1002,G6,B19D,146,0,0,1
19,T018892,CUST06009,EVT1002,G8,B19E,67,0,0,1
20,T002821,CUST08085,EVT1002,G3,B6E,36,0,0,1
21,T007873,CUST06278,EVT1002,G6,B12C,139,0,0,1
22,T016633,CUST02224,EVT1001,G3,B2B,21,1,0,0
23,T018617,CUST03918,EVT1002,G10,B17A,150,0,0,1
24,T007453,CUST06048,EVT1002,G8,B10E,6,0,0,1
25,T015230,CUST01712,EVT1001,G8,B18E,139,0,0,1
26,T014745,CUST09385,EVT1002,G4,B5E,47,0,0,1
27,T000139,CUST11234,EVT1001,G8,B4E,108,0,0,1
28,T001554,CUST14880,EVT1001,G2,B3C,27,1,0,0
29,T001925,CUST06461,EVT1001,G9,B3B,106,0,0,1
30,T017622,CUST07967,EVT1002,G6,B19C,91,0,0,1
31,T006999,CUST06299,EVT1002,G4,B8B,129,0,0,1
32,T006918,CUST01059,EVT1001,G7,B13B,117,1,0,0
