departure_id,from_hub,to_hub,travel_time_min,departure_time_min,route_id,vehicle_id,is_express,next_departure_index
1,H14,H20,88,247,R042,V195,False,269
2,H21,H19,79,378,R036,V001,False,393
3,H12,H24,49,1381,R047,V054,False,1403
4,H22,H20,79,1349,R029,V173,False,1374
5,H22,H13,48,755,R034,V038,False,776
6,H12,H14,77,57,R006,V021,True,72
7,H19,H08,62,964,R016,V150,True,993
8,H11,H16,40,317,R015,V006,False,337
9,H15,H06,30,1057,R044,V182,False,1077
10,H09,H05,93,1301,R046,V185,False,1326
11,H04,H22,57,525,R029,V055,False,543
12,H10,H08,77,820,R035,V035,False,845
13,H10,H15,47,367,R018,V026,False,397
14,H06,H11,62,1180,R047,V044,False,1203
15,H14,H16,76,1230,R002,V085,False,1252
16,H05,H02,35,1197,R047,V192,True,1216
17,H03,H02,60,128,R001,V191,False,158
18,H11,H01,29,1322,R003,V055,False,1348
19,H25,H06,38,405,R024,V172,True,421
20,H20,H07,53,1256,R008,V109,False,1281
21,H12,H18,87,756,R021,V190,True,781
22,H02,H07,24,14,R049,V002,False,40
23,H18,H22,67,1155,R033,V134,False,1179
24,H14,H21,81,460,R016,V159,False,487
25,H10,H23,88,116,R048,V057,False,136
26,H15,H06,83,901,R045,V176,False,929
27,H07,H10,102,250,R033,V104,False,277
28,H01,H11,90,260,R040,V124,False,277
29,H01,H13,103,632,R019,V100,False,649
30,H25,H02,93,1254,R031,V052,False,1281
31,H05,H09,46,62,R025,V058,False,82
32,H23,H05,66,491,R021,V111,False,506
33,H04,H24,63,463,R018,V193,True,486
34,H05,H16,30,588,R044,V013,False,612
35,H15,H22,73,653,R018,V110,False,679
36,H02,H13,50,128,R025,V188,False,158
37,H22,H20,37,77,R015,V082,False,107
38,H02,H01,22,72,R013,V016,False,92
39,H08,H16,62,1109,R026,V066,False,1135
40,H11,H06,54,452,R013,V136,False,475
41,H01,H04,61,411,R030,V003,False,428
42,H09,H16,80,138,R028,V051,False,159
43,H10,H04,59,1257,R003,V097,False,1282
44,H23,H04,61,1351,R037,V042,False,1378
45,H05,H18,42,288,R029,V148,False,313
46,H11,H14,43,101,R014,V010,False,130
47,H18,H09,69,1313,R004,V171,False,1339
48,H22,H25,100,925,R032,V042,False,944
49,H01,H02,98,1028,R046,V161,False,1053
50,H20,H07,35,1207,R021,V074,True,1237
51,H07,H02,103,74,R045,V031,False,93
52,H02,H01,53,1390,R033,V169,True,1409
53,H17,H01,28,1343,R030,V034,False,1363
54,H04,H13,63,1373,R001,V092,True,1394
55,H02,H25,34,1136,R002,V199,True,1152
56,H02,H13,71,684,R006,V172,False,706
57,H25,H02,46,450,R010,V039,True,472
58,H05,H11,65,360,R006,V062,False,389
59,H22,H12,73,1112,R042,V099,False,1138
60,H22,H06,22,706,R046,V052,True,721
61,H10,H25,63,940,R030,V019,False,957
62,H03,H15,103,163,R049,V048,False,192
63,H02,H10,89,1119,R029,V079,False,1147
64,H23,H24,84,560,R021,V173,False,586
65,H22,H24,48,1277,R024,V178,True,1294
66,H21,H24,36,869,R013,V011,True,884
