sku_id,category,base_price,current_stock,min_stock_threshold,day_of_week,hour_of_day,recent_demand_7d,competitor_price,discount_pct,urgency_score
SKU00001,clothing,997.41,162,28,6,18,112,1128.08,36.7,0.534
SKU00002,electronics,2270.29,30,64,5,4,100,2110.6,34.6,1.532
SKU00003,personal_care,509.2,306,44,5,23,150,515.43,18.2,0.672
SKU00004,food,49.2,114,35,5,15,167,57.79,27.1,0.82
SKU00005,household,157.8,38,65,2,21,169,148.49,32.5,1.609
SKU00006,clothing,2275.7,400,26,3,16,138,2540.57,31.5,0.584
SKU00007,clothing,2175.49,396,65,3,1,83,2053.62,3.7,0.514
SKU00008,clothing,1290.93,393,81,3,11,92,1454.74,19.6,0.471
SKU00009,clothing,1352.51,402,99,0,5,68,1413.03,2.0,0.395
SKU00010,household,428.26,376,77,2,17,68,459.6,21.2,0.374
SKU00011,electronics,986.67,17,113,3,11,21,913.44,4.6,3.323
SKU00012,household,74.91,21,32,0,2,115,84.57,15.4,1.187
SKU00013,electronics,4298.48,40,99,2,6,42,3894.89,28.0,1.475
SKU00014,electronics,4949.69,281,85,0,9,138,4455.16,22.0,0.803
SKU00015,personal_care,120.44,497,114,2,0,131,102.59,38.9,0.738
SKU00016,clothing,260.62,310,106,0,13,55,236.01,21.9,0.49
SKU00017,personal_care,617.87,353,120,4,6,131,588.18,19.7,0.793
SKU00018,household,601.72,152,116,0,19,93,636.84,4.5,0.751
SKU00019,personal_care,333.6,10,72,5,5,101,333.53,18.7,3.777
SKU00020,personal_care,423.61,286,53,2,17,114,491.12,15.5,0.548
SKU00021,clothing,1678.14,91,104,5,10,139,1650.25,28.1,1.221
SKU00022,household,607.77,300,61,2,14,108,603.16,19.7,0.633
SKU00023,clothing,1009.78,441,73,3,16,130,1057.09,14.2,0.603
SKU00024,food,298.44,470,90,4,13,92,262.01,14.4,0.564
SKU00025,food,131.02,348,63,2,1,94,145.88,4.7,0.466
SKU00026,clothing,1133.0,69,112,0,2,83,1261.27,15.2,1.132
SKU00027,electronics,3292.78,499,71,1,13,97,3443.72,2.8,0.459
SKU00028,personal_care,803.31,216,86,3,14,95,736.26,21.5,0.678
SKU00029,electronics,4641.99,129,109,2,23,48,4237.45,20.6,0.711
SKU00030,clothing,1673.67,202,84,5,11,164,1673.7,2.7,0.863
SKU00031,food,173.78,254,59,5,4,132,156.27,3.6,0.744
SKU00032,electronics,1018.57,140,91,6,17,185,830.61,11.0,1.163
SKU00033,electronics,4636.32,137,31,0,19,129,4847.48,20.2,0.628
SKU00034,food,59.16,420,72,5,1,88,48.93,17.2,0.538
SKU00035,household,103.81,328,102,6,21,102,97.66,20.6,0.663
SKU00036,food,87.36,218,72,6,7,57,89.2,36.0,0.392
SKU00037,personal_care,1059.67,234,75,0,15,110,1073.29,20.1,0.6
SKU00038,electronics,4458.67,155,105,0,19,88,4666.36,31.1,0.689
SKU00039,food,120.92,43,92,0,17,137,138.31,1.2,1.593
SKU00040,electronics,788.19,113,82,6,21,137,915.98,27.2,0.908
SKU00041,clothing,1368.9,5,78,0,16,129,1380.56,7.2,7.016
SKU00042,clothing,2093.46,218,114,6,12,101,2414.31,0.2,0.664
SKU00043,household,675.13,185,89,1,22,108,579.58,5.0,0.771
SKU00044,electronics,3406.74,186,117,3,10,34,3165.4,11.8,0.549
SKU00045,food,215.48,176,20,2,22,76,252.22,12.8,0.36
SKU00046,electronics,3483.5,51,61,2,20,83,3421.54,10.5,1.019
SKU00047,clothing,1963.89,376,41,6,13,33,1824.2,26.9,0.286
SKU00048,household,285.53,211,55,1,20,176,310.14,37.3,0.834
SKU00049,personal_care,921.77,154,35,1,22,143,905.2,6.4,0.785
SKU00050,electronics,2307.02,436,82,5,18,164,2270.48,17.8,0.85
SKU00051,clothing,1278.2,58,77,4,17,62,1293.29,8.9,0.901
SKU00052,household,564.07,193,24,5,4,128,492.31,35.3,0.674
SKU00053,household,741.68,101,64,0,9,56,735.55,14.0,0.638
SKU00054,electronics,4452.17,495,85,3,23,134,4474.53,20.0,0.622
SKU00055,electronics,3982.14,226,27,5,7,126,3776.73,9.4,0.663
SKU00056,clothing,1546.38,453,26,5,22,175,1681.09,17.6,0.729
SKU00057,electronics,2608.9,334,47,6,6,64,2825.19,20.9,0.326
SKU00058,food,88.32,31,114,4,1,156,76.98,34.0,2.505
SKU00059,personal_care,661.36,217,46,3,14,37,678.18,6.7,0.254
SKU00060,electronics,3376.05,456,60,0,10,100,3129.29,12.4,0.566
SKU00061,electronics,2684.76,132,65,2,17,63,2814.19,17.6,0.496
SKU00062,electronics,4219.27,416,112,3,8,89,4519.69,38.6,0.49
SKU00063,food,226.63,283,63,5,14,107,231.72,18.2,0.539
SKU00064,personal_care,434.62,101,54,5,23,187,491.03,3.9,1.013
SKU00065,food,288.02,13,104,0,6,47,271.86,10.2,4.002
SKU00066,food,246.92,418,107,5,12,71,228.01,10.0,0.512
SKU00067,food,107.81,323,55,3,6,52,106.01,7.8,0.393
SKU00068,clothing,642.49,213,42,2,10,56,718.08,11.6,0.322
SKU00069,household,346.1,315,90,0,6,163,355.01,30.9,0.794
SKU00070,personal_care,473.85,281,23,2,15,15,450.95,38.7,0.201
SKU00071,personal_care,941.69,9,78,2,11,72,865.94,27.4,4.288
SKU00072,household,427.47,7,100,1,20,149,507.83,26.2,6.846
SKU00073,household,691.12,91,118,0,1,114,646.01,31.4,1.197
SKU00074,electronics,3291.46,357,63,2,10,116,3156.62,16.3,0.652
SKU00075,clothing,1853.48,477,91,2,20,130,1773.78,2.4,0.715
SKU00076,food,288.58,272,56,1,15,82,320.27,15.9,0.431
SKU00077,food,200.35,163,90,0,17,99,217.89,23.8,0.67
SKU00078,electronics,4224.16,31,51,6,18,102,4381.75,24.3,1.205
SKU00079,household,344.22,192,120,1,3,26,336.5,29.2,0.515
SKU00080,household,381.13,144,60,5,20,129,345.94,29.4,0.823
SKU00081,electronics,692.54,441,116,3,0,20,582.18,28.0,0.311
SKU00082,personal_care,844.66,480,54,1,1,84,810.27,1.9,0.492
SKU00083,electronics,735.18,353,68,5,3,110,766.13,18.4,0.536
SKU00084,personal_care,758.02,137,102,0,22,45,834.61,39.4,0.55
SKU00085,electronics,1508.36,120,22,6,3,67,1377.83,8.8,0.459
SKU00086,household,508.2,140,35,3,19,77,554.87,13.6,0.432
SKU00087,personal_care,828.83,428,98,1,16,134,789.57,37.1,0.75
SKU00088,electronics,671.36,447,61,1,9,107,573.64,17.4,0.596
SKU00089,household,231.51,18,50,1,5,82,207.42,27.8,1.744
SKU00090,clothing,1690.07,262,75,0,7,68,1703.45,3.1,0.415
SKU00091,household,152.71,134,69,2,0,117,168.67,39.0,0.724
SKU00092,household,616.89,290,48,6,2,135,540.84,21.9,0.722
SKU00093,household,734.88,385,92,1,23,105,697.32,4.3,0.639
SKU00094,personal_care,223.09,260,83,3,23,134,258.88,2.9,0.695
SKU00095,electronics,1320.2,22,34,2,5,64,1576.73,0.0,0.995
SKU00096,clothing,1767.09,457,94,5,7,165,1643.94,33.4,0.863
SKU00097,clothing,2204.14,392,34,3,7,134,1912.53,0.5,0.679
SKU00098,food,41.08,39,23,5,16,99,48.95,22.7,0.683
SKU00099,electronics,3532.81,93,44,4,13,105,4162.47,35.0,0.654
SKU00100,electronics,4536.91,179,22,1,5,67,4867.78,27.0,0.329
SKU00101,personal_care,101.2,371,83,3,9,127,96.78,34.4,0.72
SKU00102,personal_care,238.95,413,46,4,12,47,196.28,28.1,0.344
SKU00103,household,486.02,484,82,6,15,81,410.22,21.2,0.509
SKU00104,food,158.96,481,73,4,10,43,157.29,12.8,0.348
SKU00105,electronics,1873.72,193,88,3,16,116,1936.42,24.3,0.691
SKU00106,personal_care,699.78,303,114,4,23,107,655.63,11.6,0.716
SKU00107,electronics,2647.92,481,95,0,5,69,3148.39,29.8,0.375
SKU00108,household,457.89,148,23,6,1,145,396.09,6.9,0.757
SKU00109,household,378.29,244,71,0,10,83,438.88,9.2,0.477
SKU00110,personal_care,641.05,226,24,1,21,72,596.63,20.8,0.441
SKU00111,food,83.84,494,86,2,13,82,98.76,15.0,0.415
SKU00112,personal_care,307.38,325,26,6,21,108,276.89,32.3,0.572
SKU00113,household,674.48,11,35,0,10,43,580.53,19.1,1.73
SKU00114,electronics,3862.4,477,33,0,10,39,3449.21,4.7,0.291
SKU00115,personal_care,1142.36,363,65,4,4,73,969.05,39.9,0.481
SKU00116,electronics,3009.73,248,35,1,10,107,2526.88,3.2,0.598
SKU00117,household,728.59,450,52,1,4,31,710.44,16.0,0.282
